// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4C3A0
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
13770		9.320234	-0.756540	-1.937268	-0.023201	0.008668	0.006407	-0.287354	-0.102051	0.724121	-158.888937	-76.874767	-0.332601
13771		9.333620	-0.776490	-1.961690	-0.022663	0.004961	0.004120	-0.288330	-0.092285	0.728271	-158.889290	-76.876287	-0.340808
13772		9.333717	-0.776350	-1.961285	-0.024980	0.007689	0.002900	-0.282715	-0.096191	0.730225	-158.892511	-76.878635	-0.346736
13773		9.337526	-0.774749	-1.912176	-0.023382	0.005879	0.005313	-0.285400	-0.093994	0.731201	-158.889498	-76.880332	-0.356537
13774		9.356666	-0.759689	-1.913651	-0.026077	0.007671	0.006535	-0.285156	-0.094238	0.726807	-158.885024	-76.881920	-0.371012
13775		9.335820	-0.775829	-1.935665	-0.022506	0.004983	0.008917	-0.287598	-0.097168	0.729980	-158.874033	-76.882386	-0.388305
13776		9.318814	-0.757699	-1.959364	-0.024851	0.000267	0.006750	-0.278076	-0.099121	0.721924	-158.874922	-76.879972	-0.396551
13777		9.349084	-0.796110	-1.960556	-0.025914	0.003033	0.006692	-0.280762	-0.103760	0.731445	-158.873084	-76.879826	-0.408371
13778		9.353025	-0.761913	-1.961729	-0.029860	0.004793	0.006756	-0.293701	-0.104492	0.727295	-158.872819	-76.879829	-0.420749
13779		9.333979	-0.777109	-1.959740	-0.028792	0.002034	0.006817	-0.284912	-0.099365	0.725342	-158.873343	-76.879223	-0.435297
13780		9.349106	-0.796554	-1.960273	-0.027730	0.003931	0.011522	-0.279297	-0.098877	0.734375	-158.861698	-76.877782	-0.458108
13781		9.351163	-0.763415	-1.985827	-0.026285	0.002110	0.009140	-0.285400	-0.106934	0.729980	-158.855410	-76.876572	-0.474948
13782		9.347245	-0.798077	-1.984343	-0.019612	0.006009	0.008808	-0.283447	-0.094482	0.729492	-158.843497	-76.876800	-0.493258
13783		9.335807	-0.777891	-1.934899	-0.031135	0.001991	0.009297	-0.286621	-0.094971	0.732666	-158.839670	-76.875560	-0.511339
13784		9.332105	-0.779223	-1.983647	-0.026961	0.001169	0.001999	-0.289551	-0.099365	0.730225	-158.851865	-76.874610	-0.509218
13785		9.329965	-0.812962	-1.958225	-0.022712	-0.000577	0.011521	-0.281006	-0.101563	0.731934	-158.839938	-76.871609	-0.528851
13786		9.333847	-0.778961	-1.959630	-0.024455	0.001241	0.004321	-0.282471	-0.097656	0.731689	-158.845312	-76.870218	-0.532260
13787		9.348940	-0.798164	-1.960407	-0.022860	-0.000576	0.006730	-0.283447	-0.097168	0.722412	-158.845022	-76.868032	-0.540873
13788		9.335600	-0.778631	-1.935600	-0.024300	0.001251	0.009118	-0.281006	-0.096924	0.727539	-158.839316	-76.865654	-0.555569
13789		9.354889	-0.731030	-1.987369	-0.023768	0.002198	0.011472	-0.282471	-0.098633	0.724609	-158.825933	-76.864045	-0.576483
13790		9.343146	-0.744050	-1.888192	-0.024297	0.001258	0.009120	-0.287109	-0.105957	0.737305	-158.820220	-76.861669	-0.591185
13791		9.322171	-0.760185	-1.910805	-0.027175	0.000260	0.009244	-0.283936	-0.098145	0.724854	-158.815852	-76.859510	-0.607990
13792		9.331695	-0.781472	-1.984688	-0.027704	-0.000679	0.006893	-0.286133	-0.100342	0.727051	-158.818912	-76.856559	-0.615687
13793		9.333463	-0.781071	-1.960619	-0.025200	-0.000615	0.009213	-0.282471	-0.103760	0.725586	-158.813973	-76.853987	-0.629985
13794		9.369441	-0.784630	-1.939026	-0.025351	-0.000614	0.004421	-0.281982	-0.101807	0.730713	-158.821285	-76.851584	-0.631932
13795		9.384476	-0.803858	-1.940056	-0.021786	-0.003318	0.006792	-0.287109	-0.103271	0.731201	-158.822757	-76.847976	-0.639376
13796		9.372928	-0.783758	-1.891197	-0.020534	-0.003287	0.007953	-0.284180	-0.102783	0.727295	-158.821603	-76.843414	-0.647183
13797		9.371240	-0.751701	-1.965789	-0.021253	-0.002372	0.009148	-0.286865	-0.100830	0.726563	-158.816327	-76.839912	-0.661538
13798		9.353908	-0.766479	-1.939975	-0.022124	-0.001457	0.005550	-0.284180	-0.104492	0.728516	-158.819958	-76.836825	-0.665366
13799		9.369273	-0.752932	-1.990456	-0.019963	0.005105	0.011280	-0.285400	-0.100098	0.719238	-158.802410	-76.836890	-0.691198
13800		9.353883	-0.767313	-1.939767	-0.019053	0.002342	0.006538	-0.279297	-0.099854	0.722656	-158.798666	-76.835627	-0.700793
13801		9.312011	-0.799104	-1.984678	-0.013673	0.003397	0.008734	-0.293701	-0.103271	0.728027	-158.784802	-76.835273	-0.717022
13802		9.346229	-0.803411	-1.986971	-0.015076	0.003371	0.002781	-0.285156	-0.097412	0.729004	-158.786447	-76.835338	-0.718742
13803		9.331215	-0.784196	-1.985872	-0.015226	0.008022	0.002646	-0.283691	-0.102539	0.724854	-158.782907	-76.838838	-0.726253
13804		9.331311	-0.784197	-1.985419	-0.015794	0.004286	0.003977	-0.286865	-0.101807	0.728271	-158.781419	-76.839145	-0.731613
13805		9.319926	-0.764105	-1.935780	-0.016890	0.004259	0.007613	-0.281006	-0.103760	0.726807	-158.771207	-76.839504	-0.747605
13806		9.314084	-0.799092	-1.959026	-0.019770	-0.001383	0.003076	-0.289551	-0.104492	0.732178	-158.779084	-76.836969	-0.745688
13807		9.319879	-0.764263	-1.935945	-0.012762	0.000637	0.003991	-0.285156	-0.092041	0.726074	-158.778158	-76.836118	-0.750898
13808		9.333121	-0.784076	-1.961048	-0.017609	0.000528	0.004151	-0.280029	-0.101074	0.728516	-158.780647	-76.834381	-0.753243
13809		9.334858	-0.783602	-1.937173	-0.014428	-0.007775	0.004296	-0.284180	-0.096680	0.727295	-158.787083	-76.828897	-0.747125
13810		9.366768	-0.821481	-1.914858	-0.010981	-0.003041	0.002845	-0.279053	-0.100586	0.726807	-158.791917	-76.825524	-0.743161
13811		9.355568	-0.768132	-1.915647	-0.012609	-0.004009	0.004126	-0.287598	-0.095947	0.722656	-158.794548	-76.822069	-0.741024
13812		9.370550	-0.787466	-1.916867	-0.010640	-0.004895	0.004089	-0.280029	-0.100586	0.730225	-158.797985	-76.817448	-0.738294
13813		9.368566	-0.788155	-1.941822	-0.007952	-0.006694	0.002855	-0.285400	-0.105225	0.728271	-158.803020	-76.812897	-0.730876
13814		9.375860	-0.842743	-1.990666	-0.007383	-0.002957	0.001527	-0.284912	-0.100586	0.726807	-158.808713	-76.809842	-0.723913
13815		9.349245	-0.803363	-1.941078	-0.002386	-0.007499	0.001498	-0.287842	-0.098145	0.721436	-158.814581	-76.805186	-0.715235
13816		9.314901	-0.799371	-1.939256	-0.004355	-0.006612	0.001536	-0.277344	-0.098145	0.728027	-158.821735	-76.800177	-0.704988
13817		9.334174	-0.751087	-1.991361	-0.008292	-0.004837	0.001613	-0.280518	-0.099365	0.736816	-158.828179	-76.796862	-0.696183
13818		9.350996	-0.769631	-1.968379	-0.004886	-0.007549	-0.000818	-0.286133	-0.097412	0.731445	-158.841813	-76.791838	-0.679591
13819		9.349023	-0.770046	-1.993328	-0.004695	-0.004755	0.000293	-0.283936	-0.102783	0.725830	-158.849213	-76.788763	-0.668108
13820		9.365865	-0.788704	-1.970230	-0.001476	-0.005617	0.001413	-0.290771	-0.103027	0.726318	-158.854098	-76.784309	-0.658497
13821		9.331554	-0.784672	-1.968255	-0.002727	-0.005642	0.000255	-0.286621	-0.094482	0.733887	-158.861134	-76.780995	-0.649132
13822		9.365630	-0.788662	-1.971364	-0.002008	-0.006554	-0.000941	-0.283447	-0.100098	0.730469	-158.872493	-76.776526	-0.633183
13823		9.359679	-0.823412	-1.995101	0.006625	-0.003574	-0.001312	-0.289063	-0.100586	0.734619	-158.875774	-76.774488	-0.618803
13824		9.310336	-0.800007	-1.992161	-0.000722	-0.003731	-0.003466	-0.285156	-0.102295	0.722900	-158.889646	-76.772049	-0.599516
13825		9.331257	-0.784284	-1.969819	0.003219	-0.000862	0.001120	-0.283447	-0.103027	0.722412	-158.887055	-76.771073	-0.595850
13826		9.352141	-0.768780	-1.947569	-0.001476	-0.005616	0.001414	-0.279785	-0.098877	0.734863	-158.891911	-76.766619	-0.586267
13827		9.365267	-0.788506	-1.973150	-0.004695	-0.004755	0.000295	-0.285156	-0.103760	0.733887	-158.899514	-76.763567	-0.576167
13828		9.317723	-0.764844	-1.946068	-0.003821	-0.005672	0.003893	-0.287109	-0.088379	0.727295	-158.900121	-76.758571	-0.572330
13829		9.317577	-0.765044	-1.946689	-0.007949	-0.006690	0.002859	-0.281982	-0.099854	0.728027	-158.904801	-76.754061	-0.564629
13830		9.343912	-0.804367	-1.997457	-0.010791	-0.004885	-0.000700	-0.286865	-0.106201	0.735840	-158.919133	-76.750433	-0.550793
