// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4C223
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
64883		-3.274969	-0.094508	9.404319	-0.006603	0.001226	0.000132	-1.074463	0.248047	-0.536133	-0.136956	18.949978	90.182396
64884		-3.288802	-0.111531	9.440717	-0.004800	0.004331	0.000404	-1.079346	0.250488	-0.537842	-0.139398	18.954057	90.180049
64885		-3.283342	-0.118423	9.407181	-0.006079	0.001155	0.001906	-1.071045	0.239014	-0.546387	-0.140972	18.955140	90.179045
64886		-3.267749	-0.073158	9.401031	-0.006603	0.001226	0.000131	-1.073975	0.247559	-0.536133	-0.144491	18.957473	90.176374
64887		-3.294714	-0.088404	9.417026	-0.005326	0.002133	0.000010	-1.075195	0.248535	-0.544678	-0.146007	18.959113	90.174220
64888		-3.281728	-0.090716	9.437372	-0.004573	0.003111	-0.001885	-1.074463	0.245605	-0.534180	-0.148757	18.962502	90.170670
64889		-3.276328	-0.097681	9.403813	-0.007579	0.003737	0.002934	-1.071533	0.246582	-0.542480	-0.150990	18.965065	90.170285
64890		-3.289985	-0.096386	9.383222	-0.004047	0.005309	-0.001491	-1.076660	0.248047	-0.541748	-0.153362	18.969697	90.166650
64891		-3.298353	-0.119815	9.386080	-0.006073	0.005694	-0.000856	-1.072510	0.238281	-0.547607	-0.155479	18.973376	90.163965
64892		-3.291323	-0.115749	9.439788	-0.004800	0.004330	0.000403	-1.080322	0.244141	-0.536865	-0.157900	18.977483	90.161377
64893		-3.297064	-0.091511	9.416174	-0.006077	0.003424	0.000524	-1.078125	0.247070	-0.533691	-0.159746	18.979863	90.159531
64894		-3.278328	-0.100372	9.403088	-0.007127	0.001298	-0.001645	-1.074463	0.240479	-0.539551	-0.163917	18.982160	90.155263
64895		-3.283963	-0.076160	9.379514	-0.004277	0.004258	0.002178	-1.071045	0.245117	-0.544678	-0.164407	18.985021	90.154418
64896		-3.292157	-0.099379	9.382429	-0.003527	0.002967	0.001663	-1.069580	0.242432	-0.541504	-0.165845	18.988323	90.152565
64897		-3.284860	-0.095202	9.436238	-0.006080	0.001153	0.001903	-1.067139	0.242920	-0.537842	-0.167421	18.989405	90.151559
64898		-3.290304	-0.070800	9.412734	-0.002027	0.000384	0.000634	-1.072998	0.243408	-0.540039	-0.168200	18.991205	90.149220
64899		-3.287110	-0.125107	9.405779	-0.004053	0.000769	0.001269	-1.075928	0.242188	-0.539795	-0.168739	18.992066	90.147830
64900		-3.298288	-0.094311	9.415718	-0.004053	0.000769	0.001269	-1.076660	0.245361	-0.535645	-0.170554	18.994078	90.145503
64901		-3.298321	-0.094763	9.415701	-0.005853	-0.000065	-0.000386	-1.075439	0.253418	-0.538086	-0.172450	18.994457	90.143112
64902		-3.292621	-0.101602	9.382242	-0.004054	0.000769	0.001269	-1.074463	0.247070	-0.537109	-0.174266	18.996432	90.141560
64903		-3.260590	-0.112102	9.389621	-0.006830	0.002444	0.002417	-1.077148	0.246582	-0.534424	-0.176171	18.998255	90.140862
64904		-3.309867	-0.064953	9.425508	-0.003527	0.002966	0.001663	-1.081543	0.247070	-0.539551	-0.177609	19.001481	90.139054
64905		-3.287943	-0.127498	9.405455	-0.003527	0.002966	0.001663	-1.085693	0.249268	-0.536377	-0.177771	19.003601	90.137898
64906		-3.266957	-0.106895	9.422832	-0.007130	-0.000972	-0.000267	-1.082031	0.243896	-0.539063	-0.181648	19.004569	90.134743
64907		-3.280068	-0.105600	9.402424	-0.004580	-0.001429	0.000873	-1.078125	0.248047	-0.542480	-0.182566	19.004169	90.133117
64908		-3.291182	-0.074780	9.412397	-0.002777	0.001675	0.001149	-1.078369	0.237061	-0.541748	-0.183660	19.006675	90.130894
64909		-3.312646	-0.114549	9.451878	-0.004580	-0.001429	0.000873	-1.077148	0.251221	-0.537598	-0.184579	19.006275	90.129268
64910		-3.293199	-0.104819	9.382004	-0.006084	-0.001118	0.003282	-1.079346	0.247803	-0.530273	-0.187142	19.007176	90.128137
64911		-3.285369	-0.082245	9.378970	-0.002777	0.001675	0.001149	-1.079834	0.244141	-0.537598	-0.186975	19.008555	90.126672
64912		-3.274754	-0.131989	9.425847	-0.003531	0.000696	0.003042	-1.079346	0.246094	-0.543213	-0.188133	19.010443	90.125191
64913		-3.272120	-0.084609	9.399415	-0.004584	-0.003699	0.002252	-1.073730	0.244629	-0.539307	-0.188780	19.008745	90.124405
64914		-3.285451	-0.101341	9.435968	-0.001507	-0.001959	0.003788	-1.070068	0.243652	-0.542480	-0.188608	19.009166	90.124112
64915		-3.298454	-0.099626	9.415605	-0.003307	-0.002793	0.002133	-1.083008	0.245117	-0.539795	-0.188547	19.007987	90.123252
64916		-3.317083	-0.091516	9.428726	-0.001511	-0.004230	0.005167	-1.070557	0.243408	-0.543457	-0.188101	19.007103	90.123610
64917		-3.278799	-0.108060	9.402838	-0.004061	-0.003773	0.004026	-1.073730	0.245361	-0.544189	-0.188098	19.005366	90.123900
64918		-3.289516	-0.076985	9.412961	-0.000988	-0.004303	0.006941	-1.070068	0.247070	-0.541748	-0.186988	19.004463	90.125967
64919		-3.329249	-0.089970	9.408659	-0.005335	-0.002408	0.002766	-1.081543	0.248535	-0.544434	-0.187964	19.003505	90.125490
64920		-3.264668	-0.110236	9.423587	0.000519	-0.002344	0.003153	-1.073730	0.247559	-0.534912	-0.186738	19.003696	90.125502
64921		-3.296561	-0.100162	9.416262	-0.003538	-0.003846	0.005800	-1.077393	0.244629	-0.541016	-0.186086	19.001920	90.126866
64922		-3.296228	-0.100496	9.416375	-0.006612	-0.003315	0.002885	-1.075439	0.254639	-0.540771	-0.189008	19.001509	90.125932
64923		-3.309064	-0.098950	9.396074	-0.002789	-0.005137	0.005285	-1.078369	0.240723	-0.536133	-0.188027	18.998993	90.126987
64924		-3.289637	-0.107256	9.383226	-0.002789	-0.005137	0.005285	-1.069824	0.246826	-0.537109	-0.188279	18.997539	90.127788
64925		-3.254414	-0.069765	9.364368	-0.002563	-0.006355	0.002995	-1.073486	0.243164	-0.535889	-0.187620	18.994321	90.127458
64926		-3.286411	-0.078211	9.414035	-0.002789	-0.005137	0.005284	-1.071533	0.245361	-0.538818	-0.187868	18.992858	90.127900
64927		-3.261273	-0.092882	9.367732	-0.002789	-0.005137	0.005284	-1.077637	0.247314	-0.539307	-0.186887	18.990341	90.128954
64928		-3.299167	-0.094819	9.450789	0.000519	-0.002345	0.003152	-1.076904	0.247803	-0.537598	-0.185652	18.990485	90.128419
64929		-3.312262	-0.093253	9.430404	-0.008635	-0.000659	0.002141	-1.075439	0.243164	-0.538574	-0.188644	18.990529	90.127560
64930		-3.274146	-0.110055	9.404437	-0.001512	-0.004231	0.005164	-1.083252	0.246826	-0.541992	-0.188174	18.989582	90.127827
64931		-3.292779	-0.101971	9.417566	-0.004811	-0.002482	0.004540	-1.073730	0.238525	-0.536377	-0.188501	18.988586	90.128425
64932		-3.278909	-0.085746	9.381199	-0.004586	-0.003699	0.002250	-1.077393	0.248535	-0.540771	-0.190364	18.987946	90.126165
64933		-3.292082	-0.102579	9.417803	-0.003313	-0.005064	0.003509	-1.070801	0.241211	-0.539063	-0.190033	18.985468	90.126143
64934		-3.291816	-0.102712	9.417894	-0.002257	-0.000669	0.004301	-1.072998	0.245117	-0.548340	-0.190149	18.986571	90.126192
64935		-3.299421	-0.125596	9.420999	-0.001742	-0.005286	0.008830	-1.069092	0.243896	-0.543701	-0.187870	18.983976	90.129396
64936		-3.272064	-0.110971	9.405151	-0.003088	-0.006281	0.001219	-1.075928	0.249268	-0.543701	-0.189044	18.981918	90.128386
64937		-3.282543	-0.080010	9.415370	-0.003543	-0.006119	0.007175	-1.072021	0.247314	-0.546143	-0.188122	18.978843	90.130588
64938		-3.276367	-0.086452	9.382081	-0.002036	-0.004158	0.003389	-1.074219	0.247070	-0.537842	-0.188270	18.977973	90.131432
64939		-3.289681	-0.103197	9.418635	-0.004058	-0.001502	0.002646	-1.080811	0.252930	-0.538574	-0.188539	18.977535	90.130881
64940		-3.276006	-0.086821	9.382203	-0.002257	-0.000670	0.004301	-1.075195	0.244873	-0.531250	-0.188653	18.978584	90.131703
64941		-3.281704	-0.080622	9.415657	-0.003529	0.000696	0.003043	-1.076416	0.243896	-0.540771	-0.188542	18.979405	90.131388
64942		-3.308506	-0.095655	9.431698	-0.006085	-0.001117	0.003280	-1.073975	0.244385	-0.547363	-0.191050	18.980184	90.129863
64943		-3.283800	-0.110550	9.385232	-0.002780	-0.000596	0.002527	-1.070557	0.248291	-0.544189	-0.190611	18.980265	90.129237
64944		-3.300428	-0.073219	9.428756	-0.002031	-0.001887	0.002011	-1.076904	0.243164	-0.534668	-0.191013	18.980701	90.128942
64945		-3.283969	-0.129323	9.442172	-0.003529	0.000695	0.003042	-1.073242	0.250732	-0.543457	-0.190903	18.981522	90.128626
64946		-3.262403	-0.089981	9.402741	-0.002262	-0.002942	0.005677	-1.073486	0.253662	-0.539063	-0.190732	18.981275	90.129683
64947		-3.283369	-0.111056	9.385377	-0.002257	-0.000670	0.004300	-1.080566	0.242920	-0.537109	-0.189644	18.981316	90.130133
64948		-3.275321	-0.088303	9.382429	-0.003309	-0.002793	0.002130	-1.082764	0.244629	-0.544922	-0.190774	18.981125	90.129179
64949		-3.269871	-0.113333	9.405885	-0.003529	0.000695	0.003042	-1.073975	0.247314	-0.537109	-0.190663	18.981947	90.128864
64950		-3.294100	-0.080436	9.395514	-0.001508	-0.001961	0.003784	-1.074219	0.245117	-0.541260	-0.190425	18.982264	90.128499
64951		-3.235113	-0.076129	9.386860	-0.005326	0.002136	0.000011	-1.079102	0.244873	-0.538086	-0.191943	18.983905	90.126343
64952		-3.294561	-0.099377	9.452349	-0.000979	0.000236	0.004181	-1.072754	0.241455	-0.541992	-0.191322	18.985466	90.125854
64953		-3.275338	-0.089243	9.382414	-0.003529	0.000695	0.003042	-1.086914	0.239258	-0.542969	-0.191212	18.986287	90.125538
64954		-3.288903	-0.106160	9.418874	-0.006085	-0.001117	0.003279	-1.079102	0.250732	-0.533691	-0.193685	18.987100	90.123211
64955		-3.254111	-0.068948	9.399865	-0.003304	-0.000521	0.000753	-1.080811	0.243408	-0.537842	-0.193896	18.987220	90.121511
64956		-3.269907	-0.115023	9.405852	-0.003529	0.000695	0.003042	-1.074219	0.249023	-0.537598	-0.194968	18.988972	90.120264
