// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4C3A0
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
16097		-0.255411	-0.127404	10.306764	-0.007847	0.009606	0.004486	-1.166016	0.963379	-2.001465	-0.646839	1.295172	-112.405930
16098		-0.237587	-0.108354	10.328031	-0.008388	0.004135	0.006046	-1.165283	0.962891	-2.002930	-0.646339	1.293321	-112.405911
16099		-0.242276	-0.109572	10.303960	-0.009360	0.005482	0.002755	-1.172119	0.964355	-1.997070	-0.646410	1.292286	-112.407829
16100		-0.248900	-0.129642	10.354783	-0.012848	0.006892	0.009974	-1.166504	0.967773	-2.005371	-0.648414	1.292040	-112.405576
16101		-0.249621	-0.130801	10.354751	-0.009890	0.006863	0.004567	-1.164063	0.968506	-1.994873	-0.648825	1.291736	-112.406447
16102		-0.231073	-0.146355	10.351548	-0.008529	0.007549	0.004470	-1.163574	0.965088	-1.997803	-0.648426	1.291830	-112.407353
16103		-0.255344	-0.132906	10.330639	-0.008383	0.007560	0.006170	-1.166260	0.968506	-2.000488	-0.648005	1.291983	-112.407268
16104		-0.222546	-0.128858	10.324697	-0.009207	0.008919	0.004581	-1.167969	0.965576	-1.989746	-0.647993	1.292863	-112.408119
16105		-0.280465	-0.120353	10.309695	-0.007852	0.006180	0.004358	-1.164307	0.961914	-1.998047	-0.647307	1.292143	-112.409086
16106		-0.253531	-0.135368	10.354597	-0.011635	0.007567	0.008173	-1.166260	0.963867	-2.001221	-0.648639	1.292272	-112.407870
16107		-0.263469	-0.102612	10.330953	-0.010421	0.008243	0.006376	-1.164551	0.964355	-1.997314	-0.649288	1.292825	-112.407736
16108		-0.225660	-0.132713	10.324580	-0.006638	0.006855	0.002560	-1.168701	0.966064	-2.001709	-0.647830	1.292510	-112.409732
16109		-0.249773	-0.119174	10.303675	-0.008920	0.005513	0.007853	-1.161133	0.961914	-2.000000	-0.647641	1.291485	-112.408708
16110		-0.260719	-0.139361	10.330420	-0.009206	0.008919	0.004578	-1.169189	0.961914	-2.005859	-0.647629	1.292364	-112.409560
16111		-0.236978	-0.101503	10.300897	-0.009744	0.006873	0.006263	-1.162109	0.963867	-2.000732	-0.647846	1.292168	-112.409489
16112		-0.277389	-0.126429	10.357581	-0.009890	0.006863	0.004562	-1.166748	0.962646	-2.005615	-0.648226	1.291870	-112.410338
16113		-0.248504	-0.122626	10.327615	-0.006883	0.004829	0.007645	-1.168701	0.962402	-1.995850	-0.646809	1.290527	-112.409434
16114		-0.253384	-0.123715	10.303533	-0.009206	0.008919	0.004577	-1.168213	0.969727	-2.001221	-0.646797	1.291406	-112.410288
16115		-0.240010	-0.105118	10.300791	-0.009591	0.010307	0.008089	-1.168701	0.968506	-1.998047	-0.647018	1.293086	-112.409158
16116		-0.266356	-0.110284	10.354745	-0.005807	0.008921	0.004275	-1.169434	0.970215	-2.001709	-0.645062	1.293965	-112.410185
16117		-0.275564	-0.111634	10.306601	-0.010275	0.008251	0.008071	-1.158936	0.960205	-2.001709	-0.645722	1.294469	-112.409003
16118		-0.257168	-0.127226	10.303396	-0.008914	0.008937	0.007976	-1.165527	0.964600	-2.006836	-0.645499	1.295381	-112.407909
16119		-0.239425	-0.108265	10.324729	-0.007852	0.006179	0.004352	-1.162598	0.964111	-1.997070	-0.644656	1.294839	-112.408897
16120		-0.250333	-0.128447	10.351453	-0.009744	0.006872	0.006258	-1.167480	0.971191	-1.988037	-0.644930	1.294557	-112.408774
16121		-0.259386	-0.129884	10.303308	-0.008383	0.007558	0.006163	-1.159180	0.965576	-2.000732	-0.644565	1.294643	-112.408689
16122		-0.241713	-0.110976	10.324647	-0.009206	0.008919	0.004573	-1.163574	0.960449	-2.003906	-0.644553	1.295523	-112.409544
16123		-0.270041	-0.097783	10.279672	-0.009068	0.005502	0.006145	-1.169922	0.966553	-2.000977	-0.644410	1.294599	-112.409488
16124		-0.223927	-0.127642	10.321420	-0.012605	0.008917	0.004872	-1.168457	0.969238	-2.004639	-0.646341	1.295480	-112.410172
16125		-0.248283	-0.114364	10.300496	-0.009060	0.008927	0.006273	-1.163818	0.959717	-1.997803	-0.646279	1.296383	-112.410043
16126		-0.249139	-0.115247	10.300466	-0.008384	0.007557	0.006161	-1.169189	0.964111	-1.998291	-0.645774	1.296493	-112.409979
16127		-0.259998	-0.135395	10.327172	-0.008392	0.004132	0.006032	-1.170654	0.968750	-2.010986	-0.645264	1.294644	-112.410045
16128		-0.246185	-0.116775	10.324477	-0.009745	0.006872	0.006254	-1.161621	0.970947	-2.007324	-0.645539	1.294362	-112.409924
16129		-0.269526	-0.137860	10.278994	-0.011251	0.006178	0.004647	-1.164307	0.965576	-2.001709	-0.646731	1.293803	-112.410642
16130		-0.257662	-0.138152	10.351148	-0.008392	0.004132	0.006031	-1.168701	0.967285	-1.997070	-0.646233	1.291950	-112.410631
16131		-0.248047	-0.119821	10.324398	-0.010711	0.008225	0.002963	-1.165039	0.961670	-2.002930	-0.647162	1.292443	-112.412404
16132		-0.259098	-0.139981	10.351087	-0.006056	0.006888	0.009356	-1.168457	0.969727	-2.003418	-0.645283	1.292190	-112.410505
16133		-0.230381	-0.136235	10.321168	-0.012314	0.008933	0.008268	-1.169434	0.969971	-2.005615	-0.647015	1.293160	-112.409249
16134		-0.254649	-0.122872	10.300243	-0.008384	0.007556	0.006158	-1.168701	0.967285	-2.000244	-0.646511	1.293269	-112.409188
16135		-0.255399	-0.123790	10.300213	-0.009745	0.006871	0.006251	-1.158691	0.962646	-2.003906	-0.646853	1.292998	-112.409044
16136		-0.237625	-0.104962	10.321600	-0.008529	0.007548	0.004457	-1.170166	0.958740	-2.006104	-0.646454	1.293092	-112.409957
16137		-0.245864	-0.140537	10.248861	-0.006202	0.006879	0.007654	-1.167725	0.963867	-2.000000	-0.644581	1.292941	-112.409107
16138		-0.249515	-0.125922	10.348250	-0.011387	0.009595	0.003071	-1.164307	0.962158	-2.008057	-0.645838	1.294199	-112.410828
16139		-0.239982	-0.107533	10.321519	-0.006887	0.004824	0.007634	-1.161621	0.970459	-1.999268	-0.644414	1.292830	-112.409947
16140		-0.221424	-0.123148	10.318323	-0.012315	0.008933	0.008263	-1.169189	0.968506	-2.003174	-0.646135	1.293741	-112.408688
16141		-0.245848	-0.109772	10.297393	-0.008519	0.010973	0.004585	-1.167969	0.969238	-2.000488	-0.645831	1.295856	-112.409484
16142		-0.242626	-0.110389	10.321427	-0.007708	0.006186	0.006044	-1.164795	0.966309	-2.001221	-0.644941	1.295180	-112.409479
16143		-0.223349	-0.160336	10.293624	-0.010422	0.008240	0.006358	-1.155518	0.967285	-1.999756	-0.645675	1.295716	-112.409280
16144		-0.273778	-0.116939	10.351226	-0.008240	0.007562	0.007854	-1.167236	0.967529	-2.005371	-0.645067	1.295840	-112.408246
16145		-0.263332	-0.132825	10.299901	-0.008394	0.004131	0.006024	-1.166992	0.963867	-2.003418	-0.644619	1.294130	-112.408179
16146		-0.222148	-0.128560	10.342215	-0.011386	0.009596	0.003067	-1.166992	0.962891	-1.998291	-0.645875	1.295389	-112.409902
16147		-0.256625	-0.134468	10.347968	-0.008782	0.005514	0.009534	-1.172852	0.976318	-2.004150	-0.645546	1.294370	-112.407949
