// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BCF6
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
65189		9.580863	0.062885	2.033323	-0.002056	0.003861	-0.007215	-0.611816	0.042969	-0.476074	3.292151	-78.608250	179.284021
65190		9.537608	0.086151	2.036489	-0.002411	0.002420	-0.007569	-0.613037	0.035645	-0.480469	3.298086	-78.609723	179.278525
65191		9.566155	0.035009	2.045167	-0.004975	0.004944	-0.008653	-0.617188	0.045166	-0.481689	3.302567	-78.607899	179.272654
65192		9.580638	0.064969	2.034317	-0.000888	0.002046	-0.007617	-0.611084	0.036377	-0.477783	3.309571	-78.609584	179.266957
65193		9.558977	0.077039	2.036029	-0.000407	0.003822	-0.008795	-0.622559	0.036377	-0.480469	3.317194	-78.608403	179.260709
65194		9.548209	0.058514	2.025518	-0.003020	0.000309	-0.004858	-0.613037	0.029785	-0.478760	3.315431	-78.611173	179.262708
65195		9.551989	0.069014	2.003865	-0.006753	0.004648	-0.005540	-0.613037	0.035400	-0.482178	3.310510	-78.609677	179.265390
65196		9.548059	0.059453	2.026199	0.001344	0.004556	-0.006954	-0.614746	0.035645	-0.479980	3.316501	-78.609948	179.262030
65197		9.558700	0.079187	2.037247	-0.004061	0.002459	-0.005989	-0.617676	0.044922	-0.478760	3.314514	-78.609641	179.263273
65198		9.565701	0.039156	2.047216	-0.002538	0.002085	-0.006036	-0.609375	0.039795	-0.475342	3.316080	-78.611356	179.262159
65199		9.558616	0.080325	2.037597	-0.001243	0.000604	-0.007971	-0.619385	0.038330	-0.474609	3.321231	-78.612076	179.257994
65200		9.547853	0.061872	2.027097	-0.002057	0.003861	-0.007214	-0.613037	0.042236	-0.482178	3.326126	-78.612736	179.253765
65201		9.590776	0.089605	2.047536	-0.000053	0.005264	-0.008439	-0.609863	0.034668	-0.473389	3.332685	-78.610792	179.248889
65202		9.526077	0.074379	2.029298	-0.004316	0.001789	-0.002924	-0.615234	0.041260	-0.476563	3.324445	-78.612779	179.256739
65203		9.547635	0.063529	2.028074	-0.002412	0.002420	-0.007568	-0.625488	0.045410	-0.479980	3.327710	-78.612495	179.253600
65204		9.576020	0.062082	2.059657	-0.001450	0.005973	-0.009924	-0.619141	0.036621	-0.474854	3.340300	-78.611857	179.241876
65205		9.543620	0.054918	2.050770	-0.004062	0.002458	-0.005989	-0.617188	0.044189	-0.475830	3.338104	-78.611664	179.243856
65206		9.558085	0.084837	2.039901	-0.000408	0.003823	-0.008793	-0.619629	0.040771	-0.476074	3.348436	-78.612292	179.235045
65207		9.536589	0.047358	2.018896	-0.000054	0.005265	-0.008438	-0.614990	0.036377	-0.484863	3.354871	-78.610385	179.230440
65208		9.579490	0.075091	2.039368	-0.003581	0.004235	-0.007166	-0.614990	0.031738	-0.467773	3.358696	-78.610832	179.226411
65209		9.579391	0.075727	2.039808	-0.000181	0.004930	-0.006905	-0.613037	0.041016	-0.491455	3.361155	-78.609145	179.225292
65210		9.547000	0.068385	2.030900	-0.007109	0.003204	-0.005894	-0.615967	0.039795	-0.487305	3.359520	-78.610225	179.224772
65211		9.546917	0.068756	2.031277	-0.001958	0.004634	-0.003793	-0.615234	0.033691	-0.477783	3.351834	-78.608672	179.233293
65212		9.543000	0.059068	2.053536	-0.000662	0.003154	-0.005728	-0.609131	0.038818	-0.481445	3.353426	-78.609786	179.233248
