// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4C3A0
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
20589		9.275023	-0.021073	-2.312709	-0.000614	-0.003521	-0.000830	-0.250244	-0.147949	0.733643	-176.724706	-75.473771	-37.442440
20590		9.267954	-0.052952	-2.302111	-0.001371	-0.005580	-0.000655	-0.249268	-0.148193	0.729492	-176.723191	-75.468643	-37.439001
20591		9.278002	-0.029440	-2.336241	-0.001513	-0.004119	0.000351	-0.251709	-0.147217	0.732422	-176.720079	-75.465093	-37.437435
20592		9.277913	-0.029266	-2.336598	-0.001247	-0.003563	-0.003409	-0.255371	-0.150146	0.737305	-176.724313	-75.461209	-37.427984
20593		9.301281	-0.023995	-2.361726	-0.001389	-0.002102	-0.002403	-0.255859	-0.152100	0.730713	-176.726930	-75.458980	-37.420517
20594		9.280980	-0.037050	-2.359777	-0.004452	-0.003382	-0.005197	-0.254639	-0.139893	0.722656	-176.736914	-75.455258	-37.407022
20595		9.287875	-0.004782	-2.371048	-0.000756	-0.002059	0.000176	-0.249512	-0.144531	0.727783	-176.733291	-75.453108	-37.405294
20596		9.270784	-0.026636	-2.391698	-0.001390	-0.002101	-0.002403	-0.252441	-0.144287	0.729004	-176.735195	-75.450027	-37.398334
20597		9.270755	-0.026558	-2.391813	-0.003470	-0.000376	0.001972	-0.255371	-0.149170	0.741455	-176.728950	-75.448638	-37.400571
20598		9.290999	-0.012970	-2.393990	-0.004878	0.001002	-0.002179	-0.257080	-0.137695	0.735107	-176.731968	-75.447325	-37.394524
20599		9.244158	-0.022600	-2.344176	-0.002306	0.000779	-0.002970	-0.243408	-0.155273	0.732422	-176.735643	-75.446802	-37.385476
20600		9.274500	-0.018792	-2.314825	-0.004878	0.001002	-0.002179	-0.258545	-0.147461	0.731934	-176.738660	-75.445489	-37.379431
20601		9.284197	-0.044074	-2.382384	-0.006221	0.008266	0.000272	-0.252686	-0.139648	0.726318	-176.737160	-75.449051	-37.379741
20602		9.277910	-0.026977	-2.336638	-0.001673	0.000821	-0.000391	-0.254395	-0.150879	0.734619	-176.734424	-75.447576	-37.377743
20603		9.277975	-0.026834	-2.336381	-0.006835	0.004746	-0.000558	-0.258057	-0.141357	0.726807	-176.735102	-75.449246	-37.375008
20604		9.261030	-0.048548	-2.356487	-0.004122	0.003062	-0.002355	-0.253418	-0.149902	0.732178	-176.737814	-75.449118	-37.368829
20605		9.278156	-0.026301	-2.335670	-0.004264	0.004523	-0.001348	-0.255371	-0.148926	0.729736	-176.738791	-75.450758	-37.364387
20606		9.247932	-0.029511	-2.364596	-0.004122	0.003062	-0.002355	-0.252930	-0.141846	0.740967	-176.741504	-75.450630	-37.358208
20607		9.261257	-0.047685	-2.355612	-0.002306	0.000780	-0.002970	-0.250732	-0.147949	0.732910	-176.745427	-75.450066	-37.349393
20608		9.258043	-0.039033	-2.332998	-0.003328	-0.001837	0.000965	-0.256592	-0.148926	0.739502	-176.740982	-75.447027	-37.350139
20609		9.271430	-0.023854	-2.389223	-0.008368	0.004106	-0.001955	-0.251709	-0.141113	0.730957	-176.745955	-75.448308	-37.344430
20610		9.288411	-0.035200	-2.303503	-0.005900	-0.001614	0.001756	-0.243652	-0.150146	0.731934	-176.741215	-75.445370	-37.347004
20611		9.271453	-0.023780	-2.389135	-0.003613	0.001085	0.002978	-0.257080	-0.151367	0.736572	-176.732918	-75.444641	-37.351705
20612		9.251252	-0.037287	-2.386810	-0.005919	0.001866	0.000009	-0.254395	-0.145264	0.732666	-176.731603	-75.443751	-37.350752
20613		9.268329	-0.015177	-2.366161	-0.005920	0.001866	0.000009	-0.249268	-0.149414	0.726807	-176.731110	-75.443765	-37.349285
20614		9.268364	-0.015076	-2.366027	-0.004246	0.001044	0.000400	-0.249023	-0.146240	0.731445	-176.728079	-75.442392	-37.349115
20615		9.268393	-0.014898	-2.365913	-0.010024	0.001449	-0.000598	-0.251709	-0.142334	0.735596	-176.731445	-75.442053	-37.346078
20616		9.272154	0.025557	-2.354205	-0.012986	-0.000905	0.006706	-0.251953	-0.145508	0.738281	-176.719779	-75.439359	-37.360003
20617		9.301882	-0.019972	-2.359396	-0.006535	-0.001654	-0.000823	-0.247803	-0.145996	0.734619	-176.721718	-75.437246	-37.355445
20618		9.258762	0.010483	-2.297996	-0.011332	0.001754	0.005350	-0.251709	-0.148926	0.729004	-176.711757	-75.436118	-37.366629
20619		9.261962	0.001887	-2.320675	-0.018624	-0.001958	0.004702	-0.255859	-0.149658	0.736816	-176.708806	-75.433646	-37.375093
20620		9.251806	0.011893	-2.352461	-0.015135	-0.005062	0.004476	-0.253418	-0.150635	0.730469	-176.703817	-75.428647	-37.383393
20621		9.268164	-0.015022	-2.366809	-0.018342	-0.004877	0.002689	-0.257568	-0.154053	0.735352	-176.705604	-75.424695	-37.387302
20622		9.297801	-0.060275	-2.372359	-0.014871	-0.004501	0.000717	-0.245117	-0.150635	0.737549	-176.708665	-75.420140	-37.387127
20623		9.294531	-0.051492	-2.349975	-0.015789	-0.001618	0.000154	-0.249512	-0.148438	0.723633	-176.714361	-75.418006	-37.385814
20624		9.314772	-0.037700	-2.352143	-0.015175	0.001902	0.000988	-0.245117	-0.145508	0.734131	-176.716191	-75.417105	-37.387091
20625		9.321730	-0.005557	-2.363115	-0.013483	-0.002401	0.003123	-0.256104	-0.154053	0.734131	-176.713853	-75.414397	-37.391743
20626		9.281801	0.016317	-2.324442	-0.013768	0.000520	0.005139	-0.254639	-0.146484	0.738770	-176.705929	-75.412570	-37.402266
20627		9.301496	-0.019171	-2.360922	-0.014544	0.001943	0.003568	-0.245850	-0.141357	0.731445	-176.702742	-75.412485	-37.408963
20628		9.288270	-0.000765	-2.369508	-0.013912	0.001982	0.006147	-0.247070	-0.152832	0.728271	-176.692502	-75.411460	-37.421965
20629		9.247844	-0.027924	-2.364961	-0.015588	0.002806	0.005758	-0.257080	-0.156494	0.726074	-176.684965	-75.411605	-37.433201
20630		9.257998	-0.038096	-2.333194	-0.016364	0.004229	0.004188	-0.248047	-0.139893	0.728516	-176.680150	-75.411929	-37.442049
20631		9.258066	-0.037961	-2.332926	-0.012606	0.001684	0.000199	-0.252441	-0.149902	0.734619	-176.683229	-75.411827	-37.440845
