// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4C223
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
13570		-5.185807	-1.528287	8.432616	-0.003425	-0.000783	0.007508	-0.920410	0.380615	-0.589600	-10.201792	30.993869	106.072946
13571		-5.167568	-1.524216	8.416933	-0.003733	0.000240	-0.000059	-0.916992	0.393799	-0.591064	-10.203469	30.994161	106.069906
13572		-5.185742	-1.528632	8.432594	-0.004136	-0.003255	0.003712	-0.921387	0.395508	-0.588623	-10.204150	30.993591	106.069546
13573		-5.149098	-1.520332	8.401358	-0.001370	-0.000313	0.003003	-0.921875	0.393311	-0.594482	-10.203402	30.993883	106.068586
13574		-5.144642	-1.526527	8.442981	-0.001571	-0.002061	0.004888	-0.922363	0.393555	-0.592529	-10.202287	30.994104	106.068861
13575		-5.193045	-1.488370	8.396596	-0.002652	-0.000910	0.002415	-0.929932	0.388672	-0.602783	-10.202436	30.993999	106.067585
13576		-5.148919	-1.520410	8.401453	-0.003934	-0.001507	0.001826	-0.917480	0.387939	-0.597168	-10.203742	30.994218	106.065781
13577		-5.167225	-1.524875	8.417024	-0.005586	0.001518	0.002560	-0.915771	0.385986	-0.593018	-10.205672	30.995497	106.064312
13578		-5.180067	-1.506967	8.406791	0.001651	-0.003025	-0.000734	-0.917969	0.397217	-0.592773	-10.204551	30.994598	106.061005
13579		-5.176821	-1.540918	8.401429	-0.002652	-0.000910	0.002414	-0.919922	0.392334	-0.597412	-10.204701	30.994493	106.059728
13580		-5.166895	-1.525120	8.417183	-0.004136	-0.003254	0.003711	-0.921387	0.397217	-0.593262	-10.205377	30.993916	106.059374
13581		-5.130253	-1.516821	8.385945	-0.001370	-0.000313	0.003003	-0.920410	0.396973	-0.589844	-10.204629	30.994208	106.058414
13582		-5.144125	-1.527244	8.443167	-0.001370	-0.000313	0.003003	-0.918213	0.390625	-0.602295	-10.204138	30.995213	106.057245
13583		-5.145410	-1.554842	8.396165	-0.000887	-0.001904	0.003387	-0.918457	0.397217	-0.589111	-10.202887	30.994647	106.056726
13584		-5.148523	-1.520841	8.401618	-0.002538	0.001121	0.004120	-0.928467	0.383301	-0.594727	-10.202776	30.996568	106.056121
13585		-5.166982	-1.524950	8.417160	-0.001255	0.001718	0.004709	-0.920898	0.390625	-0.595947	-10.201509	30.998179	106.056043
13586		-5.130678	-1.516578	8.385729	-0.001651	0.003025	0.000734	-0.913086	0.396973	-0.599609	-10.202153	31.000827	106.052985
13587		-5.190201	-1.523049	8.390856	-0.007438	0.002797	0.005178	-0.929932	0.392090	-0.588379	-10.204335	31.003093	106.053087
13588		-5.167867	-1.525421	8.416531	-0.002134	0.004616	0.000350	-0.925293	0.393555	-0.594482	-10.205484	31.006598	106.049592
13589		-5.162621	-1.503420	8.390526	-0.003250	-0.001350	0.000324	-0.933838	0.393311	-0.589600	-10.206658	31.006033	106.046992
13590		-5.158197	-1.509920	8.432078	-0.003135	0.000681	0.002030	-0.916504	0.388672	-0.586182	-10.207569	31.007489	106.045067
13591		-5.186268	-1.530214	8.431983	-0.003935	-0.001506	0.001825	-0.913818	0.392822	-0.598389	-10.208617	31.006988	106.043474
13592		-5.144325	-1.499843	8.374791	-0.003135	0.000681	0.002030	-0.923584	0.392334	-0.589600	-10.209526	31.008440	106.041551
13593		-5.159512	-1.538169	8.384930	-0.003935	-0.001506	0.001825	-0.927979	0.387695	-0.596191	-10.210574	31.007939	106.039957
13594		-5.180675	-1.508671	8.406110	-0.004734	-0.003694	0.001620	-0.916260	0.387939	-0.590088	-10.212271	31.006880	106.038282
13595		-5.167628	-1.526914	8.416407	-0.002652	-0.000910	0.002414	-0.914307	0.399902	-0.597168	-10.212421	31.006776	106.037005
13596		-5.162228	-1.504905	8.390501	-0.003733	0.000242	-0.000060	-0.926025	0.391846	-0.596680	-10.214352	31.007764	106.033764
13597		-5.158977	-1.539082	8.385092	-0.002284	-0.004531	0.001091	-0.927246	0.397461	-0.594482	-10.214519	31.005483	106.032046
13598		-5.149093	-1.523356	8.400813	-0.002933	0.002429	0.000146	-0.918457	0.392334	-0.593506	-10.216054	31.007724	106.028676
13599		-5.190178	-1.525667	8.390395	-0.005102	-0.000072	0.002943	-0.923584	0.392334	-0.596436	-10.217481	31.008146	106.027648
13600		-5.136366	-1.541941	8.410848	-0.004417	0.000085	0.001442	-0.919678	0.388184	-0.587158	-10.219285	31.009196	106.025410
13601		-5.135523	-1.513647	8.343274	-0.004987	0.001959	0.004649	-0.920166	0.396729	-0.583252	-10.220191	31.010936	106.025263
13602		-5.167631	-1.528567	8.416105	-0.004734	-0.003693	0.001619	-0.921143	0.390625	-0.593994	-10.221887	31.009870	106.023593
13603		-5.185771	-1.533065	8.431771	-0.003733	0.000242	-0.000060	-0.920898	0.387451	-0.595947	-10.223566	31.010163	106.020552
13604		-5.157650	-1.513075	8.431847	-0.001572	-0.002061	0.004887	-0.924561	0.392090	-0.595703	-10.222441	31.010348	106.020828
13605		-5.170559	-1.494972	8.421614	-0.002537	0.001121	0.004120	-0.917480	0.393555	-0.595703	-10.222072	31.011561	106.020432
13606		-5.162182	-1.506678	8.390212	-0.001370	-0.000313	0.003002	-0.924561	0.394043	-0.600098	-10.221572	31.012536	106.019277
13607		-5.180381	-1.510857	8.405899	-0.002169	-0.002500	0.002797	-0.920654	0.394775	-0.588379	-10.221219	31.011573	106.018440
13608		-5.148996	-1.524729	8.400623	-0.001687	-0.004091	0.003180	-0.912109	0.392334	-0.594727	-10.220607	31.010434	106.017849
13609		-5.179824	-1.510911	8.406233	-0.002969	-0.004687	0.002591	-0.918457	0.394287	-0.594971	-10.220649	31.008217	106.017136
13610		-5.166683	-1.529033	8.416603	-0.002169	-0.002500	0.002796	-0.921387	0.396484	-0.592041	-10.220538	31.007936	106.016109
13611		-5.153729	-1.547258	8.426838	-0.003732	0.000243	-0.000060	-0.913818	0.395996	-0.599121	-10.222216	31.008229	106.013068
13612		-5.176225	-1.545399	8.400973	-0.004252	-0.005283	0.002002	-0.923096	0.397217	-0.592529	-10.223399	31.006293	106.011852
13613		-5.135068	-1.543640	8.411329	-0.004417	0.000086	0.001442	-0.927734	0.391846	-0.583252	-10.224952	31.006651	106.009817
13614		-5.166180	-1.529871	8.416759	-0.000887	-0.001904	0.003385	-0.923584	0.387207	-0.597656	-10.223949	31.006753	106.009089
13615		-5.178915	-1.511801	8.406632	-0.001485	-0.002344	0.001295	-0.925293	0.381836	-0.590820	-10.223722	31.005726	106.007246
13616		-5.157380	-1.541686	8.385596	-0.003452	-0.003096	0.002207	-0.918701	0.392334	-0.590088	-10.224513	31.005038	106.005878
13617		-5.191331	-1.493945	8.396666	-0.001687	-0.004091	0.003179	-0.923584	0.390137	-0.604004	-10.223656	31.003217	106.005481
13618		-5.147199	-1.525932	8.401506	-0.003134	0.000682	0.002030	-0.918945	0.395020	-0.592285	-10.224554	31.004643	106.003579
13619		-5.175253	-1.546277	8.401410	-0.005217	-0.002100	0.001236	-0.924316	0.395996	-0.584229	-10.226501	31.003747	106.001668
13620		-5.141733	-1.504065	8.375625	-0.000086	0.000282	0.003591	-0.920898	0.390869	-0.589844	-10.225101	31.005101	106.000839
13621		-5.168221	-1.496538	8.422771	-0.003770	-0.006873	0.002384	-0.914307	0.386475	-0.589355	-10.225538	31.001631	106.000250
13622		-5.146446	-1.526461	8.401871	-0.002969	-0.004687	0.002590	-0.924072	0.391602	-0.593750	-10.225819	31.000081	105.999324
13623		-5.172994	-1.518966	8.448975	-0.001369	-0.000313	0.003002	-0.928955	0.390381	-0.592041	-10.225072	31.000372	105.998363
13624		-5.155993	-1.542472	8.386305	-0.002767	-0.002939	0.000706	-0.919678	0.389404	-0.596924	-10.225982	30.999611	105.996002
13625		-5.167266	-1.496987	8.423277	-0.004136	-0.003252	0.003708	-0.920410	0.387939	-0.599609	-10.226401	30.998317	105.995854
13626		-5.145713	-1.526763	8.402266	0.000280	-0.003339	0.002266	-0.920166	0.393555	-0.604492	-10.225009	30.997490	105.994574
13627		-5.182105	-1.535102	8.433654	-0.002652	-0.000909	0.002413	-0.922852	0.395020	-0.592529	-10.225160	30.997385	105.993296
13628		-5.176547	-1.512904	8.407893	-0.001687	-0.004091	0.003178	-0.919678	0.392090	-0.594727	-10.224541	30.996221	105.992721
13629		-5.135310	-1.510976	8.418314	-0.002768	-0.002938	0.000706	-0.917480	0.389160	-0.595459	-10.225212	30.994799	105.990561
13630		-5.144906	-1.527054	8.402707	-0.003452	-0.003095	0.002207	-0.922607	0.391846	-0.590332	-10.225991	30.994094	105.989213
13631		-5.144778	-1.527182	8.402762	-0.003336	-0.001065	0.003914	-0.918457	0.390137	-0.600586	-10.226016	30.994054	105.988941
13632		-5.165963	-1.497542	8.423978	-0.003452	-0.003095	0.002207	-0.912842	0.390869	-0.592285	-10.226795	30.993344	105.987596
13633		-5.149936	-1.549617	8.428723	-0.001369	-0.000313	0.003002	-0.929443	0.387939	-0.599854	-10.226047	30.993636	105.986634
13634		-5.147557	-1.493519	8.408386	-0.004619	-0.001660	0.003325	-0.921875	0.400879	-0.598145	-10.227202	30.993845	105.985849
13635		-5.154220	-1.543649	8.387178	-0.005217	-0.002099	0.001235	-0.922607	0.394531	-0.599854	-10.229148	30.992950	105.983938
13636		-5.185321	-1.529866	8.392633	-0.000086	0.000282	0.003591	-0.913330	0.383301	-0.596924	-10.227733	30.994280	105.983129
13637		-5.165523	-1.498053	8.424157	-0.003654	-0.004842	0.004089	-0.915771	0.387939	-0.594482	-10.227649	30.992128	105.983420
13638		-5.140984	-1.561866	8.397572	-0.002651	-0.000908	0.002413	-0.918457	0.388428	-0.595215	-10.228028	30.992665	105.981933
13639		-5.175128	-1.514123	8.408546	-0.003336	-0.001065	0.003914	-0.915771	0.382568	-0.586182	-10.228052	30.992626	105.981661
13640		-5.125725	-1.523838	8.387441	-0.002053	-0.000470	0.004502	-0.924561	0.393799	-0.593994	-10.227409	30.993618	105.981515
13641		-5.175191	-1.514171	8.408499	-0.003818	0.000527	0.003532	-0.922607	0.392822	-0.584717	-10.227937	30.994437	105.980803
13642		-5.149383	-1.550281	8.428939	-0.001088	-0.003652	0.005266	-0.919189	0.397461	-0.594971	-10.226287	30.993710	105.981585
13643		-5.143925	-1.527839	8.403165	-0.001454	-0.000031	0.006592	-0.917480	0.391602	-0.597412	-10.224389	30.994526	105.982952
13644		-5.157050	-1.509723	8.392820	-0.003499	0.004304	0.003356	-0.922607	0.389404	-0.593262	-10.225251	30.998093	105.981531
