// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4C223
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
47477		-5.733348	-1.267849	8.082578	-0.003691	-0.001636	0.003744	0.245117	0.357666	0.148193	-8.688285	34.468594	-63.558430
47478		-5.733926	-1.244855	8.090937	-0.002323	-0.000895	0.006523	0.251709	0.364502	0.145752	-8.686724	34.468380	-63.556757
47479		-5.730351	-1.252694	8.113775	0.000505	-0.002862	0.007161	0.242432	0.353271	0.150391	-8.683466	34.465967	-63.554570
47480		-5.730787	-1.229523	8.122260	-0.003502	-0.003356	0.005038	0.247314	0.358398	0.149658	-8.683011	34.464231	-63.553660
47481		-5.729541	-1.275446	8.105620	-0.005150	0.001072	0.005885	0.237549	0.366699	0.153076	-8.683719	34.463982	-63.552760
47482		-5.758057	-1.245919	8.094151	0.000067	0.002877	0.007854	0.243652	0.359131	0.156982	-8.680495	34.466020	-63.550569
47483		-5.734201	-1.243923	8.090885	-0.003940	0.002383	0.005731	0.245361	0.364014	0.152832	-8.680653	34.466553	-63.549917
47484		-5.733623	-1.266857	8.082538	-0.003502	-0.003355	0.005039	0.240723	0.351318	0.150879	-8.680199	34.464817	-63.549007
47485		-5.738362	-1.212804	8.076439	-0.002699	0.002545	0.003936	0.242432	0.357666	0.149414	-8.680359	34.465339	-63.549607
47486		-5.730276	-1.274918	8.105183	-0.002322	-0.000894	0.006524	0.248047	0.361328	0.143555	-8.678797	34.465126	-63.547934
47487		-5.734393	-1.243626	8.090795	-0.002322	-0.000894	0.006524	0.242432	0.363525	0.157471	-8.677529	34.463974	-63.546396
47488		-5.758546	-1.245105	8.093929	-0.000923	-0.001303	0.007664	0.245850	0.360840	0.144775	-8.674699	34.463627	-63.543897
47489		-5.713675	-1.233112	8.065103	-0.000893	-0.002452	0.006024	0.245361	0.364746	0.145508	-8.672714	34.461603	-63.542540
47490		-5.734192	-1.242669	8.091084	0.000506	-0.002861	0.007163	0.245850	0.365967	0.155029	-8.669167	34.460331	-63.540222
47491		-5.729903	-1.273460	8.105676	-0.000863	-0.003601	0.004384	0.236816	0.364746	0.156250	-8.667734	34.457562	-63.539871
47492		-5.781730	-1.268696	8.089128	-0.003938	0.002385	0.005733	0.250977	0.362549	0.153320	-8.667600	34.459138	-63.539085
47493		-5.709509	-1.263262	8.079706	0.000099	0.001728	0.006216	0.239014	0.360840	0.146973	-8.665230	34.459599	-63.538040
47494		-5.758581	-1.243494	8.094152	-0.002350	0.000256	0.008166	0.246826	0.363037	0.149414	-8.663115	34.460179	-63.535359
47495		-5.737525	-1.256377	8.059877	-0.002698	0.002547	0.003938	0.249023	0.364990	0.144775	-8.663286	34.460955	-63.535967
47496		-5.758835	-1.243208	8.094015	-0.000892	-0.002452	0.006025	0.244873	0.361328	0.148926	-8.661007	34.459816	-63.534475
47497		-5.738175	-1.233020	8.068230	-0.001110	0.000418	0.006371	0.242188	0.367920	0.150879	-8.659201	34.459650	-63.533190
47498		-5.734301	-1.263768	8.082541	0.002550	0.003200	0.004266	0.239258	0.368652	0.147461	-8.655968	34.461560	-63.533497
47499		-5.707252	-1.246763	8.110584	0.001934	-0.004419	0.006663	0.251709	0.357422	0.148193	-8.652021	34.458728	-63.531508
47500		-5.759023	-1.241529	8.094139	0.001499	0.001319	0.007356	0.249512	0.366455	0.147949	-8.648077	34.459840	-63.529495
47501		-5.710816	-1.237690	8.087937	-0.002320	-0.000892	0.006527	0.240479	0.358643	0.147705	-8.646829	34.459036	-63.527969
47502		-5.734847	-1.239153	8.091159	0.000536	-0.004010	0.005524	0.245850	0.354248	0.147461	-8.643835	34.456971	-63.526657
47503		-5.709914	-1.259955	8.079937	0.000507	-0.002860	0.007165	0.248291	0.360596	0.143311	-8.640602	34.455148	-63.524487
47504		-5.755162	-1.248197	8.117366	0.000507	-0.002860	0.007166	0.244873	0.357178	0.141846	-8.637054	34.453876	-63.522169
47505		-5.737291	-1.252704	8.060615	0.000348	-0.002290	0.004230	0.246582	0.361816	0.156250	-8.635092	34.452164	-63.522077
47506		-5.710306	-1.235751	8.088594	0.000233	0.002309	0.010795	0.240479	0.362061	0.152344	-8.630597	34.454132	-63.517805
47507		-5.714417	-1.204231	8.074220	-0.000863	-0.003599	0.004386	0.242188	0.356934	0.155273	-8.629194	34.451735	-63.517472
47508		-5.758535	-1.238521	8.094947	-0.000920	-0.001300	0.007668	0.239990	0.366943	0.150146	-8.626361	34.451389	-63.514971
47509		-5.762600	-1.207130	8.080584	-0.002319	-0.000890	0.006529	0.240723	0.359375	0.145508	-8.625111	34.450756	-63.513445
47510		-5.710175	-1.234657	8.088853	-0.002290	-0.002040	0.004888	0.248047	0.355469	0.147461	-8.624100	34.449752	-63.512778
47511		-5.740706	-1.242834	8.038199	-0.001079	-0.000730	0.004733	0.246826	0.367676	0.143555	-8.622841	34.449099	-63.512499
47512		-5.754713	-1.246040	8.118015	-0.003284	-0.006219	0.004697	0.243408	0.358887	0.144287	-8.622228	34.445711	-63.511527
47513		-5.740152	-1.242643	8.038624	-0.002101	-0.003759	0.006183	0.250732	0.370850	0.148193	-8.620816	34.443514	-63.509939
47514		-5.733321	-1.236005	8.092722	-0.002016	-0.007208	0.001259	0.239990	0.363770	0.151123	-8.620753	34.439271	-63.511226
47515		-5.760094	-1.252083	8.065042	0.004518	-0.002369	0.009291	0.246338	0.363525	0.148926	-8.614426	34.438175	-63.507649
47516		-5.708790	-1.233258	8.090044	0.001559	-0.000979	0.004076	0.244873	0.372314	0.143799	-8.611588	34.437701	-63.507650
47517		-5.736317	-1.226525	8.070541	-0.002101	-0.003758	0.006184	0.249023	0.363525	0.149414	-8.610181	34.435593	-63.506064
47518		-5.729023	-1.242648	8.116258	-0.000673	-0.005318	0.005682	0.233398	0.360596	0.149170	-8.607743	34.432800	-63.504511
47519		-5.735787	-1.226115	8.070980	-0.001050	-0.001879	0.003092	0.234619	0.359863	0.143799	-8.607045	34.431530	-63.505244
