// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BCF6
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
00340		-3.417133	-0.679636	9.213022	-0.001420	0.006963	-0.004779	0.754883	-0.035645	0.068604	-4.252684	18.914929	-39.673226
00341		-3.415291	-0.714260	9.214191	0.000113	0.007034	-0.004180	0.757324	-0.039063	0.067627	-4.251808	18.915053	-39.674336
00342		-3.410866	-0.695685	9.242501	-0.003243	0.004124	-0.003072	0.757568	-0.041016	0.065918	-4.251082	18.916467	-39.674291
00343		-3.416365	-0.714732	9.213757	-0.000053	0.008829	0.000029	0.758301	-0.030762	0.069092	-4.249503	18.917795	-39.672939
00344		-3.440281	-0.715549	9.238917	-0.003154	0.001991	-0.002136	0.750732	-0.034424	0.060303	-4.248540	18.918062	-39.672241
00345		-3.435116	-0.717201	9.196842	-0.002649	0.007190	-0.001604	0.753418	-0.034424	0.063232	-4.248745	18.918385	-39.671802
00346		-3.402451	-0.679249	9.228273	-0.003713	0.005622	-0.002638	0.757080	-0.030518	0.066650	-4.248284	18.920743	-39.671580
00347		-3.431295	-0.698996	9.224902	-0.000648	0.005764	-0.001439	0.752930	-0.038330	0.064697	-4.247289	18.920258	-39.670977
00348		-3.418795	-0.716058	9.212752	-0.001711	0.004195	-0.002473	0.747314	-0.032959	0.073486	-4.245650	18.921840	-39.670597
00349		-3.403885	-0.679795	9.227704	0.001265	0.006470	-0.002209	0.750244	-0.028564	0.066895	-4.243720	18.921726	-39.670491
00350		-3.443254	-0.716832	9.237710	-0.000648	0.005764	-0.001439	0.760010	-0.032227	0.062744	-4.241318	18.924277	-39.669564
00351		-3.415592	-0.697409	9.240625	-0.000055	0.008830	0.000029	0.749756	-0.034668	0.067383	-4.239740	18.925606	-39.668213
00352		-3.423501	-0.681874	9.210493	0.000671	0.003404	-0.003677	0.752686	-0.037354	0.069336	-4.237014	18.926747	-39.668540
00353		-3.411120	-0.698879	9.198304	-0.001207	0.009395	-0.001941	0.753906	-0.036865	0.067383	-4.236490	18.928315	-39.668404
00354		-3.417305	-0.697768	9.239965	-0.002091	0.003560	-0.001103	0.757324	-0.033936	0.072021	-4.234867	18.929685	-39.667190
00355		-3.394260	-0.697291	9.214465	-0.001029	0.005129	-0.000069	0.743652	-0.032959	0.071045	-4.233812	18.928895	-39.665731
00356		-3.459430	-0.700706	9.248415	-0.001331	0.004831	-0.003844	0.762207	-0.041016	0.065430	-4.232333	18.930900	-39.666237
00357		-3.412943	-0.699589	9.197574	-0.000179	0.004267	-0.001873	0.759033	-0.034912	0.064941	-4.231132	18.929540	-39.665830
00358		-3.385066	-0.680201	9.200581	-0.000649	0.005764	-0.001439	0.752686	-0.026367	0.070068	-4.228829	18.932214	-39.664932
00359		-3.413867	-0.699784	9.197216	0.000201	0.004902	-0.003243	0.750732	-0.035400	0.062012	-4.227688	18.931160	-39.665381
00360		-3.420019	-0.698668	9.238893	-0.002651	0.007191	-0.001606	0.750732	-0.042969	0.069092	-4.226608	18.934666	-39.664654
00361		-3.415105	-0.700290	9.196718	-0.001890	0.008463	-0.004347	0.749268	-0.038330	0.061768	-4.226933	18.935600	-39.665929
00362		-3.408302	-0.716057	9.226432	-0.000560	0.003631	-0.000503	0.753174	-0.031250	0.063477	-4.224411	18.937145	-39.664384
00363		-3.421861	-0.699218	9.238169	0.000323	0.009467	-0.001341	0.761719	-0.037109	0.062256	-4.222894	18.938779	-39.663888
00364		-3.422525	-0.699356	9.237913	-0.002562	0.005058	-0.000670	0.749268	-0.035156	0.069092	-4.221599	18.941156	-39.662515
00365		-3.417391	-0.700849	9.195826	-0.000649	0.005765	-0.001439	0.751465	-0.024414	0.068115	-4.220604	18.940672	-39.661913
00366		-3.423450	-0.699548	9.237555	0.000972	0.003702	0.000098	0.755127	-0.029785	0.066650	-4.217138	18.942332	-39.660022
00367		-3.413394	-0.681946	9.224032	0.000883	0.005836	-0.000839	0.760254	-0.034424	0.060547	-4.215149	18.941913	-39.659061
00368		-3.424481	-0.699599	9.237169	-0.002652	0.007192	-0.001607	0.749756	-0.036621	0.067871	-4.214165	18.945520	-39.658362
00369		-3.401542	-0.699058	9.211645	0.001353	0.004338	-0.001272	0.760254	-0.038574	0.062988	-4.211969	18.944227	-39.657596
00370		-3.414859	-0.682334	9.223461	-0.003624	0.003490	-0.001705	0.761719	-0.031982	0.065918	-4.211531	18.945736	-39.656798
00371		-3.378798	-0.698804	9.186029	0.000201	0.004903	-0.003243	0.749268	-0.040527	0.070557	-4.210390	18.944682	-39.657248
00372		-3.415755	-0.682689	9.223103	0.000112	0.007037	-0.004180	0.747314	-0.032715	0.059326	-4.208370	18.948133	-39.658109
00373		-3.401000	-0.734123	9.212288	-0.000359	0.008535	-0.003747	0.753174	-0.038818	0.062500	-4.207701	18.949134	-39.659025
00374		-3.409878	-0.698649	9.252471	-0.001891	0.008464	-0.004348	0.750488	-0.027588	0.064453	-4.206908	18.953413	-39.660059
00375		-3.428480	-0.700858	9.235591	0.000021	0.009172	-0.005117	0.753906	-0.038574	0.065430	-4.206300	18.954720	-39.661830
00376		-3.400908	-0.681439	9.238525	0.000411	0.007335	-0.000405	0.754883	-0.038818	0.066162	-4.203419	18.958539	-39.660438
00377		-3.447692	-0.703194	9.218468	-0.005717	0.007050	-0.002810	0.760254	-0.029541	0.065430	-4.205616	18.958731	-39.660722
00378		-3.402188	-0.682117	9.238004	0.000111	0.007038	-0.004180	0.760986	-0.039795	0.065674	-4.203665	18.962244	-39.661603
00379		-3.425504	-0.703055	9.192639	-0.000741	0.007900	-0.002377	0.754150	-0.033691	0.073730	-4.202937	18.962939	-39.661663
00380		-3.424462	-0.717618	9.264211	-0.003715	0.005624	-0.002643	0.759033	-0.031494	0.061523	-4.202876	18.965728	-39.661559
00381		-3.426541	-0.703683	9.192204	-0.001712	0.004197	-0.002475	0.749023	-0.034912	0.067871	-4.202671	18.964304	-39.661513
00382		-3.422133	-0.685018	9.220566	-0.001032	0.005130	-0.000070	0.758545	-0.041260	0.066895	-4.200585	18.966940	-39.659840
00383		-3.429793	-0.669600	9.190490	-0.001241	0.002699	-0.002909	0.754150	-0.038086	0.064209	-4.200174	18.964641	-39.659989
00384		-3.415574	-0.700916	9.250199	-0.000270	0.006403	-0.002810	0.757324	-0.033447	0.065430	-4.198224	18.967912	-39.660033
00385		-3.446930	-0.686290	9.245333	-0.003334	0.006260	-0.004014	0.745117	-0.026611	0.071289	-4.199280	18.967602	-39.661008
00386		-3.393285	-0.700749	9.224421	0.000790	0.007972	-0.001775	0.755371	-0.028076	0.070068	-4.196561	18.971833	-39.660502
00387		-3.394003	-0.700817	9.224152	-0.000742	0.007901	-0.002377	0.757324	-0.038086	0.070068	-4.195834	18.972529	-39.660561
00388		-3.425444	-0.685964	9.219266	0.001261	0.006474	-0.002208	0.752197	-0.032227	0.071045	-4.192930	18.975896	-39.660256
00389		-3.436564	-0.703632	9.232374	-0.002655	0.007193	-0.001609	0.748047	-0.042236	0.066406	-4.193138	18.976220	-39.659820
00390		-3.413651	-0.703249	9.206846	-0.002184	0.005696	-0.002042	0.754395	-0.038330	0.058838	-4.192184	18.979169	-39.659386
00391		-3.396269	-0.701455	9.223269	-0.000562	0.003632	-0.000503	0.756836	-0.032227	0.072510	-4.190924	18.977504	-39.658124
00392		-3.409614	-0.684742	9.235071	-0.001713	0.004198	-0.002476	0.755127	-0.029785	0.070557	-4.189785	18.979593	-39.657892
00393		-3.438520	-0.704618	9.231571	-0.004278	0.009257	-0.003148	0.758789	-0.034180	0.067383	-4.191255	18.981031	-39.658477
00394		-3.374296	-0.701676	9.197353	-0.002094	0.003561	-0.001106	0.756348	-0.032715	0.071045	-4.190076	18.982830	-39.657394
00395		-3.398338	-0.702544	9.222424	-0.000362	0.008538	-0.003747	0.755371	-0.034912	0.061035	-4.189409	18.983833	-39.658310
00396		-3.412098	-0.685838	9.234072	-0.000362	0.008538	-0.003747	0.747070	-0.031006	0.065186	-4.187850	18.988372	-39.659049
00397		-3.430675	-0.688051	9.217166	-0.001513	0.009104	-0.005720	0.752686	-0.031494	0.070313	-4.188239	18.989616	-39.661182
00398		-3.390128	-0.685651	9.208189	-0.000744	0.007902	-0.002377	0.753906	-0.033447	0.064941	-4.186636	18.993864	-39.661071
