// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BCF6
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
33952		-2.809304	6.900319	6.426856	-0.000679	0.007683	-0.003319	-0.564697	-1.165283	-0.516602	47.203844	16.443120	102.611988
33953		-2.809564	6.877957	6.400297	0.001413	0.004968	-0.002610	-0.560547	-1.163818	-0.519287	47.206154	16.442280	102.612671
33954		-2.781101	6.899823	6.472370	0.000504	0.006525	-0.006028	-0.568848	-1.161133	-0.519043	47.208567	16.442972	102.613329
33955		-2.832306	6.872771	6.426430	0.002582	0.005720	-0.003244	-0.560791	-1.162354	-0.520508	47.211539	16.442686	102.614978
33956		-2.760841	6.882541	6.418828	-0.000198	0.008065	-0.005574	-0.561768	-1.165527	-0.515381	47.213793	16.443786	102.616495
33957		-2.795510	6.886722	6.414565	0.000245	0.004216	-0.001977	-0.562500	-1.172852	-0.521973	47.215392	16.442404	102.617337
33958		-2.830542	6.913204	6.436652	-0.000198	0.008065	-0.005574	-0.565918	-1.163086	-0.516602	47.217646	16.443503	102.618854
33959		-2.784401	6.877132	6.444853	0.002375	0.005734	-0.007118	-0.559570	-1.169922	-0.514648	47.220062	16.444874	102.618565
33960		-2.780909	6.895480	6.429095	0.001428	0.003059	-0.004686	-0.562744	-1.165771	-0.501465	47.222728	16.443652	102.618248
33961		-2.798295	6.886383	6.413714	0.000741	0.002690	-0.006306	-0.562744	-1.164307	-0.519287	47.223994	16.443474	102.614873
33962		-2.786343	6.876965	6.444192	0.003062	0.006102	-0.005498	-0.562256	-1.163818	-0.519775	47.227882	16.443777	102.615560
33963		-2.799758	6.886130	6.413347	-0.005094	0.006981	-0.004840	-0.564209	-1.161865	-0.518799	47.226421	16.444655	102.617332
33964		-2.800568	6.885904	6.413237	0.002360	0.007643	-0.005044	-0.567627	-1.161865	-0.518066	47.230149	16.445367	102.618879
33965		-2.784497	6.894874	6.428192	0.000023	0.006139	-0.003777	-0.565918	-1.164063	-0.514404	47.231656	16.445440	102.620735
33966		-2.785150	6.894697	6.428099	-0.001833	0.005019	-0.004764	-0.562012	-1.171143	-0.520020	47.232688	16.445014	102.621245
33967		-2.802695	6.885441	6.412805	-0.001367	0.007311	-0.004943	-0.561523	-1.169678	-0.509277	47.233420	16.446056	102.622367
33968		-2.803380	6.885247	6.412714	-0.001146	0.005387	-0.003144	-0.557861	-1.165771	-0.516602	47.235078	16.445092	102.623696
33969		-2.787106	6.894018	6.427979	-0.002282	0.000818	-0.006660	-0.557617	-1.160400	-0.520264	47.234306	16.444339	102.620379
33970		-2.817589	6.916349	6.408428	-0.003239	0.008099	-0.003856	-0.559570	-1.163086	-0.510742	47.235019	16.444728	102.622609
33971		-2.788527	6.893338	6.428092	-0.002504	0.002741	-0.008459	-0.561279	-1.160400	-0.517090	47.234137	16.445466	102.620336
33972		-2.814889	6.869490	6.470229	-0.001351	0.005401	-0.007018	-0.557861	-1.167969	-0.513184	47.235234	16.446136	102.620099
33973		-2.785908	6.911138	6.412553	-0.002553	0.008467	-0.002236	-0.567627	-1.163818	-0.512939	47.235750	16.446482	102.622728
33974		-2.790852	6.892489	6.427993	-0.001351	0.005401	-0.007019	-0.562012	-1.157959	-0.515869	47.236847	16.447152	102.622491
33975		-2.791625	6.892133	6.428040	-0.004391	0.005438	-0.005298	-0.564453	-1.169189	-0.516113	47.235592	16.447564	102.623049
33976		-2.809566	6.905095	6.439173	-0.000665	0.005769	-0.005399	-0.564209	-1.154785	-0.519043	47.237314	16.447697	102.623630
33977		-2.814568	6.886443	6.454585	-0.002055	0.006941	-0.006565	-0.556396	-1.152100	-0.517090	47.237424	16.449241	102.624642
33978		-2.776606	6.877897	6.417005	-0.005321	0.000853	-0.004941	-0.559570	-1.158447	-0.512451	47.235919	16.447268	102.623254
33979		-2.794466	6.890697	6.428344	-0.003910	0.005820	-0.007553	-0.565186	-1.161621	-0.523438	47.234724	16.448795	102.622732
33980		-2.795173	6.890447	6.428306	0.001429	0.003058	-0.004687	-0.563721	-1.164063	-0.521484	47.237391	16.447573	102.622414
33981		-2.795880	6.890196	6.428267	-0.003910	0.005819	-0.007554	-0.564941	-1.166748	-0.521729	47.236165	16.449105	102.622990
33982		-2.796607	6.889810	6.428364	-0.003002	0.004265	-0.004133	-0.559570	-1.163574	-0.516113	47.236506	16.448120	102.623426
33983		-2.793069	6.907915	6.412911	-0.002537	0.006556	-0.004312	-0.567871	-1.163086	-0.513672	47.236555	16.448579	102.624687
33984		-2.802120	6.870890	6.443830	0.000039	0.004229	-0.005854	-0.564453	-1.162598	-0.515869	47.238436	16.448304	102.624408
33985		-2.777569	6.916475	6.428105	-0.002280	0.000816	-0.006663	-0.566895	-1.168945	-0.518311	47.237673	16.447483	102.622109
33986		-2.798897	6.866486	6.401922	0.000281	0.008443	-0.007833	-0.565430	-1.165527	-0.515137	47.239989	16.449679	102.622876
33987		-2.783321	6.897598	6.443425	-0.002316	0.004633	-0.002513	-0.569092	-1.156982	-0.520020	47.240148	16.448612	102.623979
33988		-2.792409	6.925122	6.397177	-0.001351	0.005399	-0.007022	-0.563721	-1.162109	-0.523926	47.241244	16.449282	102.623740
33989		-2.805754	6.869584	6.443642	-0.003224	0.006186	-0.005935	-0.567871	-1.165527	-0.521729	47.240661	16.450241	102.625393
33990		-2.785086	6.874389	6.417088	-0.001815	0.003107	-0.006843	-0.560059	-1.160645	-0.515625	47.241226	16.449945	102.624222
33991		-2.816081	6.918982	6.423856	-0.002520	0.004646	-0.006389	-0.561279	-1.167236	-0.518799	47.240821	16.450510	102.623895
33992		-2.807979	6.868530	6.443796	-0.003205	0.004277	-0.008011	-0.570068	-1.160645	-0.519531	47.240601	16.451160	102.622762
33993		-2.800379	6.904899	6.412971	-0.003669	0.001985	-0.007832	-0.567871	-1.162354	-0.519775	47.239039	16.451291	102.620945
33994		-2.805211	6.886139	6.428549	-0.001834	0.005015	-0.004768	-0.563965	-1.159180	-0.513672	47.240070	16.450865	102.621452
33995		-2.793369	6.876590	6.459152	0.002394	0.003824	-0.009197	-0.565918	-1.166016	-0.520264	47.242074	16.452264	102.619645
33996		-2.819412	6.895047	6.397600	-0.005097	0.006971	-0.004850	-0.560547	-1.168945	-0.519775	47.241468	16.452633	102.620977
33997		-2.790850	6.894386	6.443605	0.000521	0.004610	-0.008110	-0.557617	-1.167236	-0.516846	47.242597	16.453931	102.619774
