// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BCF6
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
49737		-3.486746	-8.554621	3.330888	-0.000347	0.003393	-0.005259	-0.679688	0.266113	0.067627	-68.657249	20.639838	133.815972
49738		-3.485152	-8.554775	3.355069	-0.001199	0.004702	-0.008761	-0.668457	0.260254	0.071045	-68.657908	20.637876	133.816276
49739		-3.487014	-8.555260	3.306060	0.000746	0.007570	-0.005240	-0.675049	0.270752	0.070557	-68.657833	20.638654	133.815785
49740		-3.484577	-8.555162	3.354678	0.002063	0.008341	-0.005264	-0.667236	0.255127	0.069092	-68.657080	20.639317	133.814793
49741		-3.464213	-8.567375	3.329224	0.000200	0.005481	-0.005250	-0.676514	0.263916	0.071777	-68.656895	20.639665	133.815720
49742		-3.472121	-8.534216	3.353694	0.000705	0.007565	-0.007008	-0.674072	0.265137	0.069824	-68.656901	20.639237	133.814782
49743		-3.475516	-8.589082	3.329457	-0.001117	0.004710	-0.005227	-0.678223	0.262451	0.069580	-68.657313	20.639427	133.816182
49744		-3.472747	-8.534731	3.328805	-0.000530	0.006803	-0.003450	-0.675293	0.259033	0.072021	-68.657594	20.640739	133.816471
49745		-3.473623	-8.535036	3.304188	0.000159	0.005477	-0.007019	-0.673584	0.256836	0.067627	-68.657602	20.640022	133.816756
49746		-3.485120	-8.556589	3.304617	-0.001157	0.004706	-0.006995	-0.681152	0.258057	0.072998	-68.658099	20.639004	133.817452
49747		-3.483661	-8.556734	3.328688	-0.001887	0.006027	-0.005195	-0.669922	0.260498	0.067383	-68.659271	20.639293	133.817540
49748		-3.484542	-8.557073	3.303971	-0.000571	0.006798	-0.005218	-0.678955	0.262695	0.068359	-68.659714	20.639659	133.817438
49749		-3.461956	-8.569110	3.327105	-0.001342	0.008115	-0.005185	-0.671143	0.261475	0.073975	-68.660954	20.640543	133.816268
49750		-3.449748	-8.548080	3.326076	-0.001928	0.006023	-0.006963	-0.674805	0.262695	0.074951	-68.662155	20.639817	133.816220
49751		-3.495611	-8.579044	3.303768	0.003058	0.003619	-0.005341	-0.669678	0.265625	0.070313	-68.659980	20.639639	133.818845
49752		-3.482279	-8.557761	3.327493	0.000200	0.005481	-0.005252	-0.675293	0.267334	0.062988	-68.659719	20.639714	133.819487
