// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BCF6
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
61583		-5.977989	2.650457	7.399656	-0.003698	0.003983	-0.002586	-0.489502	-0.503906	-0.472656	19.901887	37.172099	116.666151
61584		-5.980388	2.638415	7.367070	-0.004821	0.003449	-0.003596	-0.491699	-0.492188	-0.466064	19.901215	37.171126	116.665299
61585		-5.935449	2.669944	7.389512	-0.004351	0.001720	-0.002508	-0.494141	-0.492188	-0.467529	19.901403	37.168714	116.665589
61586		-5.966303	2.668079	7.373549	-0.002063	0.002924	-0.003188	-0.502197	-0.500488	-0.462891	19.902377	37.167353	116.666150
61587		-5.972269	2.628151	7.387774	-0.008090	0.005565	-0.002392	-0.490723	-0.495117	-0.476074	19.901039	37.166989	116.667459
61588		-5.960094	2.646664	7.361746	-0.002063	0.002924	-0.003188	-0.498047	-0.492676	-0.463135	19.902030	37.165618	116.666733
61589		-5.967457	2.666605	7.373148	-0.002532	0.004652	-0.004276	-0.491943	-0.491699	-0.466064	19.902972	37.165130	116.666545
61590		-5.958737	2.657465	7.393940	-0.001593	0.001195	-0.002099	-0.498047	-0.483887	-0.464355	19.904407	37.162605	116.667109
61591		-5.960992	2.645638	7.361387	-0.002062	0.002923	-0.003187	-0.497559	-0.491943	-0.461182	19.905807	37.160973	116.667234
61592		-5.980922	2.646520	7.398695	-0.002532	0.004652	-0.004276	-0.502197	-0.498779	-0.471191	19.906307	37.160706	116.667972
61593		-5.961747	2.644855	7.361057	-0.002062	0.002923	-0.003187	-0.490967	-0.490234	-0.464355	19.907708	37.159074	116.668097
61594		-5.962109	2.644429	7.360917	-0.005331	0.005039	-0.001983	-0.492920	-0.497803	-0.471924	19.907623	37.158601	116.669363
61595		-5.981792	2.645421	7.398385	-0.000654	-0.002262	0.000077	-0.493896	-0.495361	-0.465332	19.910396	37.153538	116.670425
61596		-5.988723	2.665615	7.410052	-0.002758	0.000524	-0.000409	-0.489014	-0.495117	-0.462402	19.911773	37.150351	116.671320
61597		-5.931624	2.645252	7.376973	-0.002758	0.000524	-0.000409	-0.490723	-0.495850	-0.467773	19.913554	37.146884	116.672735
61598		-5.976343	2.684242	7.384159	-0.002104	0.002786	-0.000486	-0.494873	-0.499512	-0.467773	19.915613	37.144941	116.674155
61599		-5.940826	2.653619	7.356070	-0.003411	-0.001739	-0.000331	-0.490479	-0.499268	-0.477539	19.916716	37.140240	116.675068
61600		-5.960497	2.654463	7.393600	-0.004819	0.003447	-0.003596	-0.497070	-0.496582	-0.468994	19.916056	37.139268	116.674306
61601		-5.962860	2.642623	7.360957	0.000185	0.003991	-0.001165	-0.492432	-0.500732	-0.466309	19.919726	37.137817	116.676058
61602		-5.963160	2.642282	7.360837	-0.004307	0.001854	-0.005209	-0.491699	-0.499023	-0.472168	19.918465	37.136270	116.673354
61603		-5.961424	2.653322	7.393262	-0.002061	0.002922	-0.003187	-0.493896	-0.497803	-0.471191	19.919865	37.134637	116.673478
61604		-5.977647	2.682014	7.383913	-0.003838	0.000126	-0.004121	-0.496094	-0.491943	-0.472900	19.919060	37.131974	116.671731
61605		-5.954877	2.632082	7.381653	-0.003695	0.003980	-0.002585	-0.486816	-0.487061	-0.477539	19.919926	37.130793	116.672521
61606		-5.940546	2.662341	7.388160	-0.001592	0.001194	-0.002099	-0.498047	-0.495605	-0.465332	19.921353	37.128326	116.675328
61607		-5.980492	2.669295	7.351193	-0.004164	0.005708	-0.003672	-0.493896	-0.497070	-0.461670	19.921762	37.128288	116.675806
61608		-5.941040	2.661529	7.388055	-0.002899	-0.003331	-0.001945	-0.492188	-0.499512	-0.472412	19.921870	37.123285	116.674096
61609		-5.959230	2.678639	7.346289	-0.005287	0.005173	-0.004683	-0.490234	-0.491455	-0.471436	19.921145	37.123157	116.673760
61610		-5.941675	2.660582	7.387885	-0.003084	0.006105	0.000040	-0.493896	-0.501953	-0.462646	19.923350	37.122911	116.677185
61611		-5.985030	2.639567	7.397856	-0.005613	-0.002672	-0.005055	-0.497314	-0.498535	-0.464111	19.921127	37.118630	116.674678
61612		-5.958031	2.688598	7.378684	-0.004817	0.003444	-0.003595	-0.492676	-0.495117	-0.470459	19.920485	37.117602	116.672434
61613		-5.972880	2.657483	7.372051	-0.004348	0.001716	-0.002507	-0.497314	-0.497070	-0.461670	19.920674	37.115187	116.672722
61614		-5.942477	2.658480	7.387997	-0.004348	0.001716	-0.002507	-0.494141	-0.500488	-0.470215	19.920473	37.113027	116.672363
61615		-5.983937	2.648947	7.430364	-0.005329	0.005035	-0.001981	-0.492676	-0.498535	-0.462891	19.920805	37.112298	116.673819
61616		-5.986177	2.636995	7.397846	-0.003879	-0.000012	-0.001420	-0.487793	-0.493408	-0.473389	19.921077	37.109009	116.672950
61617		-5.943289	2.657028	7.387866	-0.005285	0.005171	-0.004682	-0.487793	-0.495361	-0.468994	19.920353	37.108880	116.672615
61618		-5.965272	2.646244	7.392695	-0.002060	0.002921	-0.003186	-0.494385	-0.489014	-0.463623	19.921362	37.107569	116.673603
61619		-5.953031	2.664879	7.366717	-0.004816	0.003443	-0.003595	-0.504150	-0.497314	-0.469727	19.921095	37.106296	116.673580
61620		-5.944333	2.655648	7.387523	-0.003737	0.003841	0.000117	-0.496826	-0.496826	-0.468750	19.922608	37.104736	116.676228
61621		-5.975239	2.653761	7.371479	-0.004816	0.003443	-0.003594	-0.490479	-0.491211	-0.470215	19.922341	37.103463	116.676204
61622		-5.944926	2.654781	7.387357	-0.003225	0.002249	-0.001496	-0.495850	-0.501709	-0.474365	19.923266	37.101412	116.677737
61623		-5.973730	2.664557	7.403830	-0.002103	0.002784	-0.000485	-0.493652	-0.491211	-0.465820	19.925723	37.099178	116.679652
61624		-5.945368	2.654084	7.387251	-0.007103	0.002236	-0.002916	-0.494873	-0.496582	-0.469727	19.923856	37.097392	116.679531
61625		-5.976398	2.652140	7.371123	-0.000752	0.007445	-0.003337	-0.489990	-0.492188	-0.472168	19.926613	37.098225	116.680661
61626		-5.940671	2.692657	7.372579	-0.004346	0.001714	-0.002507	-0.491455	-0.498779	-0.473877	19.926408	37.096097	116.681508
61627		-5.967991	2.642419	7.391869	-0.005468	0.001179	-0.003518	-0.487549	-0.493164	-0.463135	19.925464	37.093590	116.680982
61628		-5.975116	2.662237	7.403546	-0.003878	-0.000014	-0.001420	-0.493408	-0.500000	-0.472168	19.925731	37.090332	116.681485
61629		-5.946635	2.651792	7.387055	-0.004346	0.001714	-0.002507	-0.499023	-0.498047	-0.465332	19.925921	37.087915	116.681772
