// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4C223
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
03402		-5.868432	1.186121	7.961172	-0.002528	-0.001184	0.001970	-0.844971	0.149170	-0.663574	8.970901	36.179354	39.058220
03403		-5.873248	1.169741	7.931088	-0.004901	0.001984	0.002203	-0.842529	0.155029	-0.658447	8.969358	36.180494	39.059583
03404		-5.880195	1.203365	7.973292	-0.003961	0.001047	0.000437	-0.847168	0.146240	-0.659424	8.968631	36.181345	39.059809
03405		-5.863834	1.201681	7.991219	-0.003390	0.001929	0.002867	-0.850342	0.154297	-0.650391	8.968214	36.182374	39.061266
03406		-5.885280	1.186861	7.943026	-0.003821	0.003486	0.003316	-0.850830	0.149170	-0.652832	8.968918	36.184349	39.063780
03407		-5.885453	1.186836	7.942902	-0.001879	0.001874	0.003532	-0.849609	0.156738	-0.653809	8.969609	36.185230	39.065139
03408		-5.880633	1.203057	7.973016	-0.003977	-0.000866	0.005053	-0.839844	0.153320	-0.644531	8.970659	36.184586	39.068389
03409		-5.905964	1.204129	7.996409	-0.001386	0.000580	0.006830	-0.845459	0.148926	-0.652588	8.972920	36.184453	39.072801
03410		-5.868794	1.185574	7.960987	-0.005997	-0.001430	0.005706	-0.849854	0.155029	-0.661621	8.973046	36.183431	39.076446
03411		-5.898772	1.170302	7.954415	-0.001096	-0.003415	0.003503	-0.851807	0.158936	-0.658691	8.973854	36.181365	39.077648
03412		-5.870957	1.203867	7.932187	-0.003547	-0.002422	0.004604	-0.849609	0.146973	-0.649658	8.974862	36.179880	39.080411
03413		-5.879576	1.203285	7.973761	-0.002177	-0.004916	0.002389	-0.850098	0.148438	-0.653320	8.974478	36.177038	39.080459
03414		-5.867586	1.185728	7.961854	-0.000525	-0.002533	0.005933	-0.852051	0.145508	-0.664063	8.977760	36.175372	39.084140
03415		-5.865226	1.220339	7.962930	-0.004486	-0.001485	0.006370	-0.843018	0.161133	-0.648682	8.977943	36.174145	39.086563
03416		-5.869765	1.204152	7.933026	-0.003117	-0.003979	0.004155	-0.844482	0.152588	-0.659912	8.978910	36.171819	39.088838
03417		-5.896867	1.170804	7.955753	0.000335	-0.005646	0.005035	-0.845703	0.153320	-0.653564	8.981031	36.168355	39.092057
03418		-5.873091	1.220190	8.004988	-0.002975	-0.001540	0.007034	-0.846680	0.153564	-0.654785	8.983429	36.167152	39.096620
03419		-5.882703	1.187767	7.944800	-0.004901	0.001986	0.002204	-0.850342	0.154297	-0.654297	8.981875	36.168252	39.097688
03420		-5.880510	1.222080	7.945796	-0.003547	-0.002422	0.004604	-0.846191	0.144043	-0.655518	8.982882	36.166767	39.100450
03421		-5.882437	1.187523	7.945033	-0.004550	-0.001746	0.002623	-0.846680	0.145996	-0.665771	8.981463	36.165718	39.100500
03422		-5.893975	1.205180	7.957258	-0.002897	0.000636	0.006166	-0.847412	0.151611	-0.652588	8.983689	36.165824	39.104696
03423		-5.898668	1.189057	7.927236	-0.003548	-0.002421	0.004604	-0.845459	0.151123	-0.654297	8.983637	36.164247	39.106360
03424		-5.879235	1.168955	7.974634	-0.009162	-0.003754	0.001498	-0.847168	0.152588	-0.653076	8.980055	36.162286	39.106797
03425		-5.893274	1.204590	7.957867	-0.003548	-0.002421	0.004604	-0.844482	0.145752	-0.655273	8.979984	36.160679	39.108866
03426		-5.860044	1.201518	7.994023	-0.001670	-0.004296	0.001071	-0.851318	0.156982	-0.666748	8.980483	36.158449	39.108943
03427		-5.892671	1.204462	7.958332	-0.006507	-0.002047	0.007023	-0.843018	0.153076	-0.644287	8.979763	36.156873	39.112820
03428		-5.889614	1.186141	7.987783	-0.002688	-0.005534	0.003705	-0.854004	0.148438	-0.653564	8.980686	36.153707	39.114607
03429		-5.863852	1.185115	7.964696	-0.005059	-0.002365	0.003940	-0.848633	0.146240	-0.655762	8.979462	36.152153	39.115556
03430		-5.844995	1.217948	7.983796	-0.003548	-0.002421	0.004604	-0.846436	0.154785	-0.651855	8.980467	36.150669	39.118317
03431		-5.861212	1.219456	7.966020	-0.003548	-0.002421	0.004604	-0.851807	0.148682	-0.661377	8.980402	36.149061	39.120081
03432		-5.861108	1.219497	7.966090	-0.002387	0.001256	0.004850	-0.844482	0.150146	-0.653564	8.982414	36.149635	39.123422
03433		-5.891359	1.204050	7.959366	-0.008003	-0.000076	0.001744	-0.846436	0.156006	-0.663818	8.978784	36.149629	39.123336
03434		-5.893397	1.169426	7.958527	-0.002976	-0.001540	0.007034	-0.848145	0.155762	-0.654541	8.981179	36.148426	39.127897
03435		-5.865706	1.202989	7.936204	-0.003469	-0.000245	0.003736	-0.846924	0.154053	-0.656250	8.980961	36.148154	39.130560
03436		-5.862862	1.184674	7.965490	-0.003549	-0.002420	0.004603	-0.843018	0.158691	-0.658691	8.981966	36.146670	39.133321
03437		-5.860547	1.219085	7.966567	-0.003469	-0.000244	0.003736	-0.842773	0.146973	-0.660400	8.981748	36.146398	39.136166
03438		-5.879110	1.186068	7.947712	-0.006429	0.000130	0.006155	-0.843506	0.152344	-0.660645	8.981911	36.146219	39.140297
03439		-5.848891	1.201159	7.954465	-0.003389	0.001932	0.002869	-0.839844	0.149902	-0.652100	8.981543	36.147289	39.141641
03440		-5.874371	1.202099	7.977775	-0.002388	0.001256	0.004850	-0.852051	0.144775	-0.649658	8.983555	36.147863	39.144981
03441		-5.874366	1.202038	7.977788	-0.004981	-0.000187	0.003072	-0.852051	0.151367	-0.658691	8.982185	36.147639	39.144891
03442		-5.874412	1.201719	7.977802	-0.006412	0.002046	0.001541	-0.848877	0.152100	-0.661621	8.980575	36.148956	39.146000
03443		-5.879349	1.185481	7.947624	-0.000876	0.001199	0.005514	-0.846680	0.146973	-0.655762	8.982675	36.149329	39.148859
03444		-5.865633	1.202341	7.936356	-0.004838	0.002250	0.005952	-0.849854	0.157471	-0.652100	8.983804	36.150368	39.153082
03445		-5.891285	1.203351	7.959527	-0.000716	0.005551	0.003780	-0.851074	0.150146	-0.656250	8.985549	36.153331	39.155258
03446		-5.903243	1.221136	7.971425	-0.001798	0.004051	0.002666	-0.845459	0.148438	-0.657227	8.987179	36.155682	39.157378
03447		-5.882392	1.151258	7.945978	-0.003390	0.001932	0.002869	-0.841797	0.148682	-0.655762	8.986795	36.156703	39.158020
03448		-5.880364	1.185663	7.946845	-0.001369	0.002494	0.002216	-0.846191	0.153564	-0.658203	8.988384	36.158214	39.159652
03449		-5.875585	1.201969	7.976901	-0.001387	0.000580	0.006830	-0.845947	0.151855	-0.656250	8.990707	36.158139	39.163897
03450		-5.947463	1.189504	7.975677	-0.002120	-0.004653	0.006133	-0.848633	0.156006	-0.652588	8.993017	36.155255	39.167481
03451		-5.863407	1.184697	7.965086	-0.002979	-0.001539	0.007033	-0.846436	0.148682	-0.657959	8.994351	36.153924	39.171676
03452		-5.891306	1.204101	7.959397	-0.002469	-0.000920	0.005716	-0.851318	0.148682	-0.652832	8.996533	36.153189	39.175383
03453		-5.849246	1.201663	7.954128	-0.003551	-0.002419	0.004602	-0.843994	0.147705	-0.652832	8.996482	36.151583	39.176387
03454		-5.902504	1.221833	7.971866	-0.003041	-0.001800	0.003286	-0.848633	0.148926	-0.663330	8.997274	36.150567	39.178292
03455		-5.874427	1.202568	7.977663	-0.001368	0.002495	0.002216	-0.846924	0.153076	-0.657715	8.997832	36.151993	39.178581
03456		-5.865531	1.203266	7.936291	-0.003408	0.000018	0.007482	-0.852539	0.152588	-0.656250	9.000267	36.151631	39.183630
03457		-5.851273	1.167300	7.953258	-0.003390	0.001933	0.002869	-0.849365	0.155029	-0.658447	8.999882	36.152643	39.184844
03458		-5.890948	1.204159	7.959654	-0.002531	-0.001181	0.001969	-0.846680	0.151855	-0.659912	9.000461	36.152096	39.185895
03459		-5.891015	1.203982	7.959631	-0.005330	0.003548	0.002655	-0.852539	0.146240	-0.649658	8.998996	36.154071	39.187630
03460		-5.874607	1.202358	7.977562	-0.002470	-0.000920	0.005716	-0.853271	0.145752	-0.647217	9.001177	36.153335	39.191336
03461		-5.882052	1.204584	7.918323	-0.004410	0.000695	0.005502	-0.851074	0.149414	-0.657471	9.001176	36.153329	39.191616
03462		-5.890949	1.204013	7.959676	-0.001960	-0.000300	0.004399	-0.842041	0.145020	-0.651367	9.003145	36.153062	39.194468
03463		-5.891016	1.204170	7.959602	-0.000796	0.003375	0.004647	-0.850342	0.153076	-0.659424	9.005089	36.154749	39.196291
03464		-5.874491	1.202548	7.977619	-0.006146	-0.003860	0.002823	-0.848389	0.145020	-0.653320	9.003775	36.152609	39.197643
03465		-5.865361	1.203144	7.936435	-0.001388	0.000580	0.006830	-0.852783	0.145020	-0.657227	9.006098	36.152512	39.200636
03466		-5.860238	1.219421	7.966742	-0.002695	-0.005532	0.003701	-0.846436	0.150879	-0.656982	9.007014	36.149347	39.202417
03467		-5.871193	1.184348	8.007221	-0.004839	0.002253	0.005952	-0.848633	0.150635	-0.661133	9.007114	36.150281	39.204704
