// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BCF6
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
58344		-5.951431	1.872761	7.645607	-0.007044	0.001427	-0.008191	-0.138184	-0.638916	-0.922363	14.181860	37.240276	34.943745
58345		-5.961325	1.910469	7.631636	-0.008490	0.002918	-0.006405	-0.140625	-0.642334	-0.915283	14.178752	37.239230	34.943085
58346		-5.956417	1.918275	7.609383	-0.003906	0.002022	-0.006237	-0.137695	-0.626221	-0.908203	14.178041	37.237588	34.942261
58347		-5.947132	1.878771	7.623317	-0.005264	0.002603	-0.007811	-0.143066	-0.641602	-0.919434	14.176155	37.236564	34.940565
58348		-5.939774	1.898805	7.633192	-0.006710	0.004094	-0.006025	-0.143799	-0.647217	-0.911133	14.174135	37.236035	34.940809
58349		-5.957516	1.915793	7.609148	-0.003566	0.002586	-0.009272	-0.139648	-0.634521	-0.911377	14.172603	37.235206	34.938090
58350		-5.935239	1.905795	7.610855	-0.005686	0.000847	-0.006617	-0.134277	-0.642822	-0.918945	14.170612	37.232944	34.935802
58351		-5.963244	1.905379	7.631410	-0.007045	0.001427	-0.008190	-0.143799	-0.637695	-0.911621	14.167420	37.231320	34.933634
58352		-5.971150	1.883353	7.621590	-0.009076	-0.001223	-0.008895	-0.134277	-0.636719	-0.909912	14.162285	37.228248	34.929900
58353		-5.955826	1.924070	7.641683	-0.007215	0.001145	-0.006673	-0.139404	-0.636230	-0.918213	14.159607	37.226254	34.928742
58354		-5.941339	1.892875	7.633447	-0.009681	0.003780	-0.009495	-0.137939	-0.637695	-0.921875	14.154392	37.226058	34.925864
58355		-5.941706	1.891793	7.633429	-0.003819	0.001113	-0.009595	-0.138916	-0.638428	-0.910156	14.152423	37.224456	34.922661
58356		-5.964640	1.899970	7.631667	-0.009769	0.004690	-0.006135	-0.145996	-0.635742	-0.916016	14.148671	37.224283	34.922377
58357		-5.939987	1.901983	7.665509	-0.006794	0.002902	-0.007865	-0.139404	-0.635010	-0.920166	14.145918	37.223432	34.920696
58358		-5.965602	1.897834	7.631446	-0.007480	0.006713	-0.010306	-0.133789	-0.642334	-0.917725	14.141915	37.224942	34.919028
58359		-5.966301	1.896805	7.631156	-0.006040	0.007325	-0.006891	-0.139893	-0.635986	-0.920654	14.140475	37.226412	34.918805
58360		-5.944514	1.886697	7.632504	-0.007148	0.009379	-0.008139	-0.141113	-0.643555	-0.920654	14.137872	37.229137	34.917916
58361		-5.954753	1.924407	7.618336	-0.008492	0.002917	-0.006404	-0.141357	-0.637207	-0.913086	14.134764	37.228090	34.917258
58362		-5.947925	1.872605	7.600059	-0.003907	0.002024	-0.006236	-0.141113	-0.640381	-0.910889	14.134055	37.226429	34.916236
58363		-5.990874	1.902355	7.628760	-0.005265	0.002604	-0.007809	-0.133789	-0.637451	-0.920166	14.132171	37.225404	34.914542
58364		-5.940783	1.891716	7.610042	-0.008825	0.000251	-0.008571	-0.133057	-0.637207	-0.914063	14.127464	37.223111	34.911268
58365		-5.946185	1.882021	7.632357	-0.005686	0.000847	-0.006617	-0.135986	-0.641602	-0.913574	14.125655	37.220943	34.910098
58366		-5.968981	1.890161	7.630709	-0.010272	0.001740	-0.006785	-0.140137	-0.635986	-0.915039	14.121038	37.219244	34.907677
58367		-5.933696	1.909484	7.620330	-0.007296	-0.000046	-0.008515	-0.143555	-0.636963	-0.916504	14.117411	37.216845	34.905026
58368		-5.947000	1.878842	7.632505	-0.007822	0.006149	-0.007270	-0.137451	-0.631104	-0.916260	14.114441	37.217612	34.904755
58369		-5.939826	1.898813	7.642319	-0.005016	0.004079	-0.007483	-0.141113	-0.642334	-0.916992	14.112994	37.217361	34.903548
58370		-5.948037	1.877202	7.632101	-0.004854	0.006462	-0.003799	-0.144287	-0.636475	-0.914063	14.113219	37.217836	34.905560
