// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BCF6
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
65233		-1.816618	-9.448516	1.797327	0.002081	0.006172	-0.008500	0.541016	0.059326	0.462158	-79.119720	10.767738	-18.572940
65234		-1.816020	-9.448618	1.797393	0.001934	0.007460	-0.006757	0.550537	0.060303	0.465576	-79.118239	10.766926	-18.574287
65235		-1.832492	-9.477993	1.790481	-0.000913	0.005535	-0.006976	0.550293	0.055176	0.465332	-79.118840	10.766008	-18.575163
65236		-1.828379	-9.491180	1.837403	0.003784	0.005760	-0.003922	0.544678	0.059814	0.468506	-79.116078	10.766612	-18.575245
65237		-1.838174	-9.455606	1.797316	-0.002174	0.003614	-0.005669	0.548584	0.062500	0.468018	-79.117169	10.766221	-18.574877
65238		-1.805949	-9.478056	1.813967	0.003725	0.005969	-0.005448	0.541992	0.064453	0.457275	-79.114493	10.765984	-18.575658
65239		-1.835381	-9.462339	1.820796	-0.000707	0.004038	-0.007193	0.542480	0.048096	0.474854	-79.114820	10.764781	-18.575700
65240		-1.804834	-9.478272	1.813950	0.000819	0.004252	-0.007192	0.538818	0.056885	0.462891	-79.113694	10.763399	-18.575724
65241		-1.834313	-9.462558	1.820735	0.000937	0.003834	-0.004141	0.544922	0.056641	0.476074	-79.112994	10.763892	-18.575314
65242		-1.829312	-9.478610	1.790470	0.000672	0.005540	-0.005450	0.540283	0.054932	0.470947	-79.112060	10.763626	-18.576055
65243		-1.835348	-9.456178	1.797195	-0.000648	0.003829	-0.005668	0.541260	0.056641	0.469482	-79.112299	10.763259	-18.575809
65244		-1.806754	-9.465535	1.766871	-0.000442	0.002332	-0.005885	0.541260	0.054932	0.466309	-79.111686	10.762406	-18.574798
65245		-1.815592	-9.433653	1.827435	0.003517	0.007466	-0.005231	0.554199	0.061768	0.475342	-79.109918	10.762679	-18.576588
65246		-1.834074	-9.456456	1.797033	-0.002794	0.008103	-0.005019	0.549072	0.055908	0.472900	-79.111250	10.762923	-18.578541
65247		-1.833610	-9.456572	1.796897	0.002346	0.004467	-0.007191	0.543945	0.055908	0.466553	-79.109874	10.761768	-18.578829
65248		-1.824729	-9.485745	1.813635	0.001085	0.002547	-0.005884	0.538574	0.055420	0.467773	-79.108429	10.760937	-18.577669
65249		-1.809057	-9.450020	1.797043	0.000613	0.005749	-0.006976	0.548096	0.055908	0.477295	-79.108178	10.760042	-18.578667
65250		-1.823641	-9.485936	1.813733	0.003665	0.006179	-0.006973	0.541992	0.053223	0.474365	-79.105679	10.758994	-18.579970
65251		-1.808023	-9.450181	1.797237	0.000671	0.005540	-0.005450	0.541992	0.058105	0.468262	-79.105341	10.758934	-18.580681
65252		-1.824558	-9.479518	1.790512	0.003930	0.004473	-0.005664	0.549072	0.062500	0.468994	-79.102492	10.758437	-18.580850
65253		-1.828748	-9.463655	1.820631	-0.005227	0.003183	-0.005674	0.545654	0.054932	0.464111	-79.105286	10.757997	-18.580236
65254		-1.798342	-9.479576	1.813582	0.000671	0.005540	-0.005450	0.541016	0.059814	0.472168	-79.104411	10.757724	-18.580588
65255		-1.853182	-9.464086	1.796800	0.000671	0.005540	-0.005450	0.540771	0.059082	0.468262	-79.104073	10.757664	-18.581299
