// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BCF6
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
02235		-5.914131	1.685967	7.710034	-0.000097	-0.000250	-0.006741	0.640625	-0.145264	0.225586	12.730364	36.909128	-113.226490
02236		-5.898551	1.711832	7.726303	-0.003258	-0.001331	-0.000637	0.651611	-0.137939	0.213867	12.732077	36.904866	-113.223935
02237		-5.937686	1.712795	7.688421	-0.000403	-0.001255	-0.005371	0.651123	-0.144043	0.223877	12.733010	36.901147	-113.224936
02238		-5.898401	1.711049	7.726591	-0.003967	-0.003591	-0.004639	0.641113	-0.140625	0.230713	12.732424	36.896127	-113.225535
02239		-5.907020	1.707022	7.704241	-0.000202	-0.000627	-0.002686	0.639893	-0.140137	0.224365	12.734660	36.892432	-113.224533
02240		-5.934889	1.750076	7.734609	-0.003460	-0.001958	-0.003323	0.639404	-0.141357	0.227539	12.735071	36.888159	-113.223955
02241		-5.905010	1.687239	7.733371	-0.002387	-0.003050	-0.007691	0.647461	-0.140381	0.219727	12.733726	36.883739	-113.226821
02242		-5.908679	1.724661	7.675855	0.001073	-0.001092	-0.004369	0.637451	-0.139160	0.228027	12.736378	36.880082	-113.226837
02243		-5.915596	1.701548	7.682245	-0.008352	0.000657	-0.004702	0.642822	-0.144287	0.222656	12.733212	36.877347	-113.227102
02244		-5.926671	1.694307	7.740802	-0.001320	-0.004271	-0.001264	0.642822	-0.144531	0.224609	12.735493	36.871521	-113.225451
02245		-5.913435	1.681849	7.711467	-0.000709	-0.002260	-0.004003	0.642090	-0.144287	0.229736	12.736718	36.867066	-113.225573
02246		-5.912653	1.738826	7.728550	-0.002186	-0.002422	-0.005006	0.649170	-0.151367	0.217529	12.737109	36.862746	-113.226244
02247		-5.906376	1.703574	7.705497	-0.002186	-0.002422	-0.005006	0.639893	-0.145020	0.226318	12.737049	36.858321	-113.227056
02248		-5.890704	1.729412	7.721854	-0.001984	-0.001795	-0.002320	0.645020	-0.136963	0.220703	12.738740	36.854012	-113.225752
02249		-5.897502	1.706526	7.728277	-0.000404	-0.001254	-0.005372	0.643799	-0.143066	0.226318	12.739652	36.850290	-113.226828
02250		-5.906224	1.702617	7.705825	-0.001477	-0.000163	-0.001003	0.647705	-0.138916	0.223877	12.742340	36.846727	-113.224347
02251		-5.921087	1.733349	7.706673	-0.006212	-0.001656	-0.002643	0.646240	-0.141602	0.222900	12.741023	36.842434	-113.223599
02252		-5.912277	1.736447	7.729373	-0.003461	-0.001958	-0.003323	0.639404	-0.143799	0.224365	12.741432	36.838161	-113.223022
02253		-5.949556	1.718218	7.720375	-0.004633	-0.001114	-0.005696	0.652832	-0.145752	0.231689	12.739798	36.834553	-113.224220
02254		-5.875489	1.695617	7.721953	-0.003766	-0.002963	-0.001954	0.651611	-0.138916	0.218994	12.740510	36.829545	-113.222846
02255		-5.929394	1.727618	7.684952	-0.002492	-0.003427	-0.003637	0.646240	-0.139648	0.218750	12.740736	36.824380	-113.223113
02256		-5.896842	1.703195	7.729515	-0.005446	-0.003752	-0.005644	0.649658	-0.143799	0.216064	12.738867	36.819397	-113.224440
02257		-5.929004	1.726284	7.685553	-0.004172	-0.004215	-0.007327	0.635254	-0.140869	0.222412	12.736507	36.814245	-113.227381
02258		-5.905163	1.698389	7.707571	0.000462	-0.003102	-0.001631	0.642090	-0.144287	0.225098	12.739763	36.809119	-113.225804
02259		-5.900164	1.739396	7.672595	-0.005806	-0.000270	-0.008069	0.646729	-0.139893	0.229004	12.736542	36.806298	-113.228411
02260		-5.898284	1.719949	7.701520	-0.000508	-0.001632	-0.001317	0.648438	-0.137695	0.224609	12.739512	36.801953	-113.226383
02261		-5.898184	1.719745	7.701643	-0.001985	-0.001794	-0.002321	0.651123	-0.141113	0.222168	12.740736	36.797555	-113.225510
02262		-5.889418	1.722898	7.724291	-0.005909	-0.000650	-0.004013	0.648438	-0.144287	0.225098	12.739578	36.794100	-113.225209
02263		-5.889532	1.722235	7.724352	-0.002548	0.001062	-0.007432	0.646484	-0.145264	0.219238	12.738611	36.791928	-113.227338
02264		-5.898316	1.718043	7.701921	-0.003462	-0.001957	-0.003324	0.644287	-0.150391	0.216553	12.739019	36.787655	-113.226762
02265		-5.911302	1.729833	7.731601	-0.002955	-0.000325	-0.002007	0.643066	-0.144043	0.226563	12.739958	36.784007	-113.225065
02266		-5.887557	1.701884	7.753540	-0.002696	-0.004052	-0.006325	0.645020	-0.136475	0.219971	12.739353	36.778943	-113.226913
02267		-5.900026	1.735617	7.673557	-0.002650	0.000682	-0.003376	0.647705	-0.145020	0.217041	12.739984	36.776051	-113.226314
02268		-5.867653	1.711429	7.717899	-0.000711	-0.002257	-0.004005	0.645996	-0.145508	0.224121	12.741656	36.771696	-113.226260
02269		-5.941545	1.732969	7.716722	-0.004940	-0.002119	-0.004328	0.652344	-0.137207	0.224609	12.740314	36.767343	-113.226603
02270		-5.869515	1.729355	7.689343	-0.002346	0.001688	-0.004745	0.644287	-0.148193	0.213623	12.741112	36.765287	-113.226443
02271		-5.911239	1.727021	7.732278	-0.004432	-0.000487	-0.003010	0.642090	-0.139893	0.220215	12.740764	36.761679	-113.225780
02272		-5.887643	1.699076	7.754090	-0.001376	0.000219	-0.005060	0.647217	-0.151367	0.220703	12.741847	36.758842	-113.226072
02273		-5.898325	1.713911	7.702835	-0.003158	-0.000950	-0.004694	0.648193	-0.152100	0.216309	12.741485	36.755193	-113.226418
02274		-5.920188	1.722049	7.709896	-0.000869	0.001851	-0.003742	0.651611	-0.140625	0.228516	12.743563	36.753101	-113.225533
02275		-5.889966	1.716744	7.725243	-0.002042	0.002695	-0.006115	0.653809	-0.138916	0.220459	12.743589	36.751672	-113.226380
02276		-5.890172	1.716370	7.725169	0.000101	0.000382	-0.004056	0.640869	-0.146973	0.228027	12.745953	36.748799	-113.225947
02277		-5.913892	1.743387	7.703474	-0.005910	-0.000649	-0.004014	0.652344	-0.143799	0.220947	12.744321	36.745244	-113.225964
02278		-5.905839	1.689052	7.709105	-0.002854	0.000058	-0.006064	0.647949	-0.141357	0.220459	12.744124	36.742444	-113.226982
02279		-5.890350	1.714810	7.725380	-0.001681	-0.000787	-0.003691	0.642090	-0.147949	0.221436	12.745031	36.738762	-113.226865
02280		-5.890460	1.714319	7.725405	-0.003825	0.001527	-0.005750	0.648682	-0.142334	0.218506	12.744547	36.736743	-113.227431
