// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4C223
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
48198		-4.124063	-5.817414	6.940704	0.000992	-0.000400	0.006318	-1.012695	0.693359	-0.357910	-39.959864	24.067244	132.791937
48199		-4.124228	-5.817064	6.940900	0.003220	-0.003152	0.003573	-1.013672	0.693115	-0.362549	-39.954418	24.065904	132.792874
48200		-4.152182	-5.833589	6.928989	-0.000500	0.002985	0.006890	-1.006592	0.690430	-0.359375	-39.952622	24.067877	132.792669
48201		-4.124979	-5.816360	6.941043	0.001956	-0.003880	0.009759	-1.013184	0.689453	-0.351074	-39.946580	24.068514	132.796840
48202		-4.107526	-5.825038	6.913060	0.002666	0.001401	0.003810	-1.010010	0.692871	-0.366455	-39.943313	24.068659	132.795792
48203		-4.128176	-5.861706	6.912487	0.002720	-0.000167	0.010463	-1.011719	0.690918	-0.354980	-39.937328	24.071180	132.798896
48204		-4.149028	-5.818745	6.949566	0.002136	0.001305	0.007823	-1.009277	0.695068	-0.360840	-39.933562	24.072759	132.799817
48205		-4.099081	-5.797612	6.953597	0.002311	-0.001239	0.006785	-1.010742	0.686768	-0.354492	-39.928377	24.073466	132.801627
48206		-4.127171	-5.813981	6.941733	0.002137	0.001305	0.007824	-1.010010	0.689453	-0.363037	-39.924610	24.075044	132.802549
48207		-4.157803	-5.797163	6.938549	-0.000325	0.000441	0.005852	-1.014160	0.689453	-0.360596	-39.921410	24.076142	132.803176
48208		-4.120534	-5.833552	6.953161	0.002895	-0.002711	0.009427	-1.014648	0.694580	-0.355957	-39.916234	24.076545	132.806487
48209		-4.156027	-5.829508	6.930118	0.003250	-0.000071	0.006452	-1.009033	0.686768	-0.361816	-39.910797	24.077651	132.807628
48210		-4.123805	-5.799335	6.962266	0.000615	0.001609	0.005518	-1.005859	0.684570	-0.365723	-39.908404	24.078516	132.807318
48211		-4.156935	-5.828808	6.930162	0.000820	0.002146	0.007358	-1.011230	0.694580	-0.354248	-39.904558	24.080940	132.807883
48212		-4.127257	-5.845055	6.933270	-0.001642	0.001281	0.005386	-1.018066	0.694824	-0.360840	-39.903430	24.081612	132.807642
48213		-4.135171	-5.824524	6.921881	-0.000119	0.000978	0.007693	-1.015869	0.688232	-0.357422	-39.899886	24.083654	132.809009
48214		-4.125728	-5.798287	6.961999	0.000615	0.001609	0.005519	-1.009277	0.695557	-0.350342	-39.897493	24.084518	132.808700
48215		-4.138643	-5.790893	6.930365	-0.006329	0.003171	0.006160	-1.016357	0.690430	-0.355713	-39.898185	24.086962	132.808455
48216		-4.151922	-5.848440	6.940573	-0.002959	0.002122	0.004920	-1.003906	0.687012	-0.360840	-39.898042	24.087832	132.807651
48217		-4.106927	-5.840640	6.924256	0.000615	0.001609	0.005520	-1.018311	0.691162	-0.364014	-39.894639	24.089366	132.807617
48218		-4.145391	-5.788907	6.989235	-0.002020	0.003290	0.004586	-1.017822	0.696045	-0.367188	-39.894216	24.090627	132.806182
48219		-4.140647	-5.790576	6.929433	-0.002549	0.003195	0.008600	-1.008545	0.692139	-0.348633	-39.892291	24.093999	132.806954
48220		-4.126409	-5.831096	6.951737	-0.002754	0.002658	0.006761	-1.012207	0.690186	-0.347412	-39.891757	24.095782	132.806821
48221		-4.134429	-5.810680	6.940178	-0.002754	0.002659	0.006761	-1.015869	0.691650	-0.353516	-39.890241	24.098241	132.807056
48222		-4.135007	-5.810592	6.939908	-0.002754	0.002659	0.006761	-1.010986	0.689209	-0.351074	-39.889707	24.100023	132.806922
48223		-4.140602	-5.823505	6.919491	-0.004805	0.002868	0.008469	-1.017090	0.688721	-0.359131	-39.889077	24.103212	132.807808
48224		-4.131355	-5.797639	6.959201	-0.007062	0.002541	0.008337	-1.012207	0.687500	-0.364014	-39.890682	24.105522	132.808481
