// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4C3A0
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
33107		9.599333	0.273421	-0.995976	-0.013524	0.002912	0.000772	-0.369629	-0.197510	0.680420	159.687837	-82.668256	-12.268775
33108		9.580633	0.259014	-0.960515	-0.013372	0.005334	0.000348	-0.365967	-0.195801	0.675049	159.692751	-82.674015	-12.276104
33109		9.589567	0.317988	-0.964716	-0.014541	0.008638	0.001694	-0.374268	-0.198242	0.682617	159.688250	-82.677474	-12.274598
33110		9.584260	0.290199	-0.944442	-0.014358	0.004133	-0.001151	-0.374023	-0.198242	0.674561	159.687975	-82.682371	-12.277765
33111		9.591573	0.314958	-0.997724	-0.016601	0.008751	0.004559	-0.373291	-0.201172	0.681152	159.694109	-82.686460	-12.288171
33112		9.582049	0.322062	-1.050051	-0.017681	0.009539	0.000041	-0.375732	-0.203857	0.681396	159.688329	-82.694590	-12.288102
33113		9.558020	0.279598	-0.994509	-0.016604	0.008754	0.004559	-0.359619	-0.197510	0.674561	159.694475	-82.698680	-12.298521
33114		9.561609	0.310573	-0.978859	-0.019990	0.009221	0.000310	-0.368896	-0.197510	0.681152	159.689142	-82.706491	-12.300567
33115		9.620339	0.322241	-0.975682	-0.019007	0.010425	0.001809	-0.372559	-0.191406	0.676758	159.679781	-82.710933	-12.296741
33116		9.584790	0.290069	-0.939088	-0.021467	0.007684	0.002500	-0.378906	-0.190430	0.677246	159.685254	-82.718416	-12.309243
33117		9.592140	0.314850	-0.992294	-0.017009	0.005905	0.002385	-0.371582	-0.191162	0.674561	159.686491	-82.720543	-12.314947
33118		9.620562	0.322100	-0.973523	-0.017163	0.003484	0.002806	-0.375488	-0.194580	0.679932	159.702174	-82.725927	-12.334605
33119		9.578834	0.328114	-0.976142	-0.015994	0.000181	0.001459	-0.373779	-0.193848	0.682129	159.709017	-82.724795	-12.345374
33120		9.597649	0.342471	-1.010795	-0.017503	0.005569	0.006076	-0.370850	-0.193604	0.683105	159.735042	-82.731935	-12.376001
33121		9.582726	0.321428	-1.044045	-0.014027	0.002586	0.004460	-0.370605	-0.203613	0.674561	159.751924	-82.732690	-12.395754
