// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4C223
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
13641		-3.209302	-0.462873	9.408118	0.003066	-0.001703	0.004871	-0.948730	0.111572	-1.120361	-2.631034	18.857666	-124.414316
13642		-3.209101	-0.462474	9.408207	0.002682	-0.002965	0.003146	-0.949707	0.115723	-1.131104	-2.628125	18.856331	-124.415212
13643		-3.209063	-0.461977	9.408244	0.005392	0.001802	0.004134	-0.956299	0.118652	-1.129883	-2.622979	18.857522	-124.415662
13644		-3.167890	-0.521427	9.403599	0.005725	0.005674	0.006578	-0.948975	0.111084	-1.140869	-2.617744	18.861263	-124.411739
13645		-3.216638	-0.437728	9.443148	0.011297	0.007379	0.006392	-0.963379	0.103271	-1.132324	-2.608823	18.865705	-124.410977
13646		-3.190988	-0.515149	9.413593	0.009738	0.006399	0.010576	-0.947998	0.105957	-1.135742	-2.600479	18.869969	-124.409376
13647		-3.233180	-0.453739	9.417964	0.009739	0.006400	0.010575	-0.953857	0.108154	-1.131104	-2.591623	18.873959	-124.406055
13648		-3.246158	-0.453303	9.450046	0.012935	0.007210	0.011845	-0.956787	0.112793	-1.130127	-2.581208	18.878724	-124.403469
13649		-3.233731	-0.485526	9.490809	0.007314	0.008118	0.012749	-0.948730	0.108887	-1.127930	-2.573330	18.883752	-124.398878
13650		-3.216571	-0.459876	9.461227	0.008874	0.009097	0.008563	-0.964600	0.107422	-1.132568	-2.565918	18.889472	-124.396532
13651		-3.254274	-0.473286	9.446495	0.007365	0.005509	0.012029	-0.954346	0.097412	-1.133057	-2.558128	18.892987	-124.392305
13652		-3.239646	-0.453659	9.471194	0.007365	0.005509	0.012028	-0.954102	0.101807	-1.127197	-2.550848	18.896722	-124.391057
