// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4C223
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
43531		-2.804721	9.369463	0.262281	-0.000041	-0.000329	-0.001494	-1.031738	-1.098877	0.191406	88.795764	16.562564	163.377597
43532		-2.784646	9.394401	0.249665	-0.003238	0.001294	-0.000140	-1.021973	-1.094238	0.188965	88.794288	16.562980	163.375753
43533		-2.807381	9.401653	0.274693	-0.000084	0.001818	0.001174	-1.033936	-1.093018	0.191406	88.796125	16.562687	163.376240
43534		-2.780593	9.372492	0.259825	-0.003322	0.003112	0.001034	-1.027344	-1.094971	0.188965	88.794915	16.562486	163.375373
43535		-2.784390	9.394469	0.249976	0.000041	0.000329	0.001494	-1.026123	-1.089355	0.188477	88.796572	16.561992	163.374975
43536		-2.784218	9.394516	0.250135	-0.004963	0.004833	0.002298	-1.029541	-1.088135	0.189941	88.794719	16.561086	163.375813
43537		-2.774857	9.360944	0.292609	-0.006143	0.000271	0.003347	-1.035400	-1.099365	0.190674	88.792830	16.559530	163.375402
43538		-2.807749	9.391632	0.253847	-0.004837	0.003345	0.002618	-1.033203	-1.098877	0.185791	88.790815	16.558371	163.375164
43539		-2.779521	9.372766	0.261379	-0.004712	0.001856	0.002937	-1.037109	-1.099365	0.188721	88.790014	16.557069	163.375696
43540		-2.802103	9.380053	0.286688	-0.004753	0.001527	0.001443	-1.029541	-1.095459	0.191406	88.787711	16.556609	163.377473
43541		-2.779046	9.372883	0.262239	-0.006227	0.002089	0.004521	-1.030029	-1.099609	0.188477	88.786087	16.554402	163.378164
43542		-2.805398	9.402162	0.277513	-0.001599	0.002050	0.002758	-1.022705	-1.088135	0.186035	88.785706	16.553234	163.377749
43543		-2.778613	9.372993	0.262922	-0.008157	0.003981	-0.000510	-1.035400	-1.092773	0.192871	88.783280	16.553932	163.379507
43544		-2.806472	9.391945	0.256364	-0.006268	0.001759	0.003027	-1.034424	-1.091064	0.182129	88.780196	16.552520	163.377679
43545		-2.779443	9.362842	0.242063	-0.009464	0.003383	0.004380	-1.032471	-1.097412	0.192139	88.776937	16.550409	163.379142
43546		-2.776484	9.383435	0.287026	-0.007908	0.003480	0.004291	-1.033936	-1.088379	0.193848	88.773198	16.548299	163.381053
43547		-2.797554	9.348314	0.278262	-0.008033	0.004968	0.003972	-1.036865	-1.103516	0.189453	88.771027	16.546442	163.383458
43548		-2.805036	9.392303	0.258957	-0.006268	0.001759	0.003026	-1.041748	-1.082520	0.187256	88.767965	16.545026	163.381747
43549		-2.806057	9.382125	0.237282	-0.004837	0.003344	0.002618	-1.028809	-1.088867	0.193115	88.767345	16.543924	163.383164
43550		-2.780473	9.395432	0.257265	-0.011186	0.004446	0.002657	-1.026367	-1.104248	0.181396	88.761943	16.542619	163.381876
43551		-2.799135	9.380748	0.292889	-0.008074	0.004639	0.002478	-1.026855	-1.092041	0.179443	88.759688	16.541614	163.384065
