// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4C223
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
19345		-3.258732	-0.481596	9.459231	-0.003944	0.002503	0.007393	0.308105	0.237061	-0.146729	-2.666392	18.023171	41.612167
19346		-3.197183	-0.507167	9.420153	-0.006282	-0.002568	0.008699	0.320068	0.239502	-0.135742	-2.667601	18.023949	41.614834
19347		-3.234681	-0.490519	9.410918	-0.003977	-0.001255	0.006064	0.319824	0.233887	-0.141602	-2.667183	18.023648	41.615919
19348		-3.239257	-0.482860	9.444263	-0.003584	-0.002241	0.008041	0.314697	0.239014	-0.145996	-2.666976	18.024611	41.618181
19349		-3.224597	-0.475874	9.462586	-0.003978	-0.001254	0.006065	0.318359	0.237061	-0.134277	-2.666558	18.024311	41.619265
19350		-3.239164	-0.483071	9.444284	-0.001878	0.001459	0.005940	0.308838	0.235107	-0.143311	-2.665793	18.027350	41.620160
19351		-3.238255	-0.467712	9.404990	-0.007751	-0.003908	0.009620	0.312744	0.246094	-0.131592	-2.666852	18.025625	41.623459
19352		-3.238808	-0.483604	9.444378	-0.003773	-0.002654	0.003555	0.307373	0.238525	-0.138672	-2.667579	18.026266	41.623034
19353		-3.234944	-0.507255	9.450361	-0.006643	0.002177	0.008054	0.305176	0.235840	-0.145996	-2.668347	18.027983	41.625220
19354		-3.223654	-0.461411	9.423260	-0.001878	0.001459	0.005941	0.316650	0.238037	-0.136475	-2.667582	18.031058	41.626117
19355		-3.215953	-0.508177	9.435242	-0.003142	-0.001283	0.004351	0.315918	0.238525	-0.133545	-2.667004	18.030695	41.626171
19356		-3.238189	-0.468709	9.404963	-0.003346	0.000117	0.006862	0.312744	0.230469	-0.136230	-2.666896	18.033040	41.627659
19357		-3.258302	-0.483697	9.459272	-0.003346	0.000118	0.006862	0.313965	0.235107	-0.131348	-2.665980	18.033545	41.629185
19358		-3.200708	-0.485766	9.414166	-0.001878	0.001459	0.005942	0.311035	0.232666	-0.136475	-2.665210	18.036653	41.630084
19359		-3.230660	-0.515632	9.416877	-0.004816	-0.001223	0.007782	0.316650	0.237549	-0.134277	-2.664952	18.036416	41.632201
19360		-3.205510	-0.478465	9.447417	-0.007669	0.001795	0.005285	0.321533	0.246582	-0.137207	-2.667631	18.039710	41.632694
19361		-3.224604	-0.478155	9.462468	-0.002340	-0.005069	0.001305	0.316406	0.238281	-0.139893	-2.667129	18.037099	41.631021
19362		-3.219801	-0.486072	9.429186	-0.003108	0.002475	0.005682	0.311768	0.243652	-0.142334	-2.667123	18.040800	41.631736
19363		-3.215237	-0.494050	9.395819	-0.005209	-0.000237	0.005807	0.312012	0.235596	-0.131592	-2.667467	18.041075	41.632637
19364		-3.204576	-0.463794	9.408100	-0.002510	0.000089	0.005147	0.308105	0.238281	-0.138184	-2.667200	18.043408	41.633095
19365		-3.224622	-0.478823	9.462428	-0.003980	-0.001252	0.006068	0.309570	0.229492	-0.134766	-2.666782	18.043108	41.634181
19366		-3.234436	-0.493806	9.410831	-0.002510	0.000089	0.005148	0.314453	0.237549	-0.132080	-2.666509	18.045449	41.634642
19367		-3.220080	-0.486987	9.429044	-0.007037	0.003167	0.006082	0.308594	0.241455	-0.141357	-2.667878	18.047679	41.635613
19368		-3.220285	-0.487163	9.428964	-0.001485	0.000473	0.007920	0.311768	0.240723	-0.138428	-2.666506	18.050327	41.637732
19369		-3.216577	-0.510736	9.434891	-0.007669	0.001797	0.005287	0.311768	0.236328	-0.136230	-2.668374	18.051752	41.638263
19370		-3.239800	-0.487179	9.443855	-0.005603	0.000751	0.003831	0.317139	0.232178	-0.132324	-2.670130	18.054459	41.637913
19371		-3.225268	-0.480404	9.462128	-0.004817	-0.001222	0.007785	0.312744	0.241211	-0.144043	-2.669872	18.054222	41.640032
19372		-3.216755	-0.511720	9.434777	-0.003741	0.001106	0.004888	0.313721	0.238281	-0.129883	-2.670365	18.057170	41.640309
19373		-3.229207	-0.457511	9.456090	-0.006047	-0.000205	0.007525	0.319336	0.235352	-0.136963	-2.670868	18.057509	41.642243
19374		-3.231368	-0.519489	9.416422	-0.007910	-0.000559	0.006469	0.313232	0.237549	-0.132324	-2.673440	18.059555	41.643519
19375		-3.225408	-0.481799	9.462010	-0.007277	0.000812	0.007265	0.317383	0.235107	-0.133301	-2.674705	18.060468	41.645268
19376		-3.235434	-0.497032	9.410318	-0.006645	0.002182	0.008062	0.314697	0.238770	-0.130371	-2.676281	18.064135	41.647425
19377		-3.225578	-0.482633	9.461909	-0.006477	-0.002975	0.004217	0.313477	0.236084	-0.131836	-2.677624	18.062800	41.647446
19378		-3.239193	-0.474564	9.404323	-0.008115	0.000842	0.008983	0.311768	0.233887	-0.139160	-2.679859	18.065734	41.650195
19379		-3.225513	-0.483557	9.461884	-0.006681	-0.001574	0.006731	0.328613	0.241211	-0.135010	-2.680862	18.065268	41.651690
19380		-3.220832	-0.491760	9.428539	-0.008953	0.000873	0.010701	0.315186	0.235840	-0.135498	-2.683252	18.068276	41.655477
19381		-3.225523	-0.484603	9.461827	-0.010219	-0.001867	0.009109	0.316406	0.236084	-0.131836	-2.685836	18.067707	41.658412
19382		-3.243869	-0.468974	9.437539	-0.009978	0.000491	0.007930	0.323242	0.231201	-0.130859	-2.689327	18.070429	41.660536
19383		-3.234057	-0.455083	9.489098	-0.013704	-0.000214	0.005818	0.316406	0.239014	-0.144043	-2.694536	18.070717	41.661443
19384		-3.220825	-0.494972	9.428373	-0.013312	-0.001201	0.007795	0.304199	0.234375	-0.135498	-2.699938	18.072476	41.663542
19385		-3.224587	-0.472353	9.422398	-0.006238	-0.000615	0.003039	0.312744	0.236816	-0.133789	-2.701384	18.072460	41.662788
19386		-3.239989	-0.495705	9.443346	-0.010167	0.000080	0.003441	0.303955	0.238525	-0.139648	-2.705807	18.074841	41.662224
19387		-3.225534	-0.489471	9.461573	-0.009534	0.001450	0.004239	0.310547	0.231201	-0.133545	-2.708936	18.076039	41.662133
19388		-3.224777	-0.474526	9.422224	-0.008305	0.000433	0.004498	0.320557	0.229004	-0.134521	-2.712097	18.078658	41.662199
19389		-3.221022	-0.498532	9.428119	-0.008305	0.000433	0.004499	0.311768	0.241455	-0.141357	-2.714464	18.079282	41.662293
19390		-3.259521	-0.497639	9.458129	-0.005213	-0.000233	0.005814	0.308594	0.240967	-0.137695	-2.715599	18.081563	41.663172
19391		-3.202958	-0.515852	9.452213	-0.009497	0.005208	0.005576	0.313232	0.235107	-0.138428	-2.718491	18.084948	41.663778
19392		-3.216872	-0.507826	9.394525	-0.006239	-0.000614	0.003041	0.318115	0.239746	-0.136230	-2.720731	18.086940	41.662996
19393		-3.225220	-0.477228	9.421936	-0.006481	-0.002971	0.004220	0.320068	0.228027	-0.140625	-2.722075	18.085608	41.663020
19394		-3.217712	-0.524141	9.433769	0.000671	0.005126	0.002133	0.315186	0.237305	-0.134277	-2.720576	18.090868	41.661531
19395		-3.221950	-0.500821	9.427680	-0.004338	0.003494	0.005433	0.310547	0.236084	-0.135254	-2.720524	18.093269	41.662100
19396		-3.240604	-0.484621	9.403324	-0.001433	0.002417	0.002256	0.312988	0.241211	-0.138672	-2.720189	18.096986	41.660757
19397		-3.198411	-0.509351	9.379193	-0.000446	-0.000959	0.003694	0.321533	0.238281	-0.133301	-2.718192	18.096791	41.660406
19398		-3.256924	-0.522902	9.463552	-0.001284	-0.000929	0.005412	0.314941	0.240723	-0.138184	-2.717153	18.098686	41.661065
19399		-3.202941	-0.501609	9.412576	-0.001471	-0.001339	0.000920	0.314209	0.239502	-0.141846	-2.716259	18.098198	41.659056
19400		-3.222119	-0.500991	9.427613	-0.000838	0.000030	0.001718	0.315430	0.244141	-0.135010	-2.715668	18.100545	41.657460
19401		-3.203125	-0.501738	9.412507	-0.002029	0.004805	0.002795	0.306152	0.235840	-0.134766	-2.714796	18.103624	41.656404
19402		-3.222664	-0.501073	9.427423	-0.000204	0.001399	0.002515	0.314453	0.235840	-0.135742	-2.713708	18.106779	41.655238
19403		-3.212047	-0.470723	9.439746	-0.002067	0.001048	0.001459	0.319580	0.246094	-0.133301	-2.713076	18.107672	41.653485
19404		-3.227588	-0.493572	9.460659	-0.002905	0.001078	0.003177	0.312256	0.235596	-0.133301	-2.713406	18.110666	41.652744
19405		-3.226870	-0.478136	9.421325	-0.004134	0.002096	0.002918	0.317627	0.243652	-0.138916	-2.713694	18.112198	41.651839
