// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4C223
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
51224		-5.726613	-1.094491	7.997828	-0.005588	-0.002193	0.005195	0.069824	0.006592	-0.834473	-7.650386	35.342373	-8.081090
51225		-5.715629	-1.097892	8.030639	0.001153	-0.004905	0.002348	0.068359	0.012451	-0.848389	-7.647783	35.340018	-8.082704
51226		-5.715607	-1.097964	8.030645	-0.004278	0.004093	-0.000474	0.072510	0.002441	-0.834961	-7.649606	35.342615	-8.086090
51227		-5.703497	-1.088498	7.972868	-0.003298	-0.004583	0.001328	0.064453	0.010010	-0.840332	-7.650052	35.340409	-8.087288
51228		-5.726150	-1.095036	7.998085	-0.003788	-0.000245	0.000427	0.065674	0.006836	-0.838379	-7.650997	35.340611	-8.089641
51229		-5.709696	-1.109273	8.009480	-0.001910	-0.001242	0.001015	0.073730	0.000977	-0.851318	-7.650952	35.340160	-8.090699
51230		-5.714641	-1.116623	7.955673	-0.003267	-0.002344	-0.000275	0.061523	0.003662	-0.842529	-7.651768	35.339116	-8.093345
51231		-5.708512	-1.078726	7.994464	-0.003298	-0.004583	0.001328	0.069336	0.009766	-0.841064	-7.652081	35.336846	-8.096127
51232		-5.675406	-1.106929	8.017427	-0.001941	-0.003480	0.002619	0.068604	0.007080	-0.838135	-7.650910	35.335378	-8.096652
51233		-5.697273	-1.082393	8.027416	-0.005035	-0.002055	0.002890	0.070557	-0.002686	-0.832275	-7.651875	35.334699	-8.096598
51234		-5.707880	-1.079226	7.994848	-0.004483	-0.001916	0.000584	0.071045	0.006104	-0.841064	-7.653064	35.333964	-8.098686
51235		-5.685602	-1.104027	7.985113	-0.000726	-0.003909	0.001760	0.072754	0.005127	-0.835938	-7.651767	35.332201	-8.102461
51236		-5.707300	-1.079348	7.995245	-0.001420	-0.005580	0.001916	0.068359	0.000488	-0.844238	-7.650466	35.329486	-8.103279
51237		-5.696233	-1.082830	8.028095	-0.003157	-0.003052	0.003478	0.068604	-0.001953	-0.838379	-7.649943	35.328326	-8.105076
51238		-5.706048	-1.048665	7.980303	-0.005146	-0.001348	-0.000862	0.071777	0.005615	-0.846924	-7.652124	35.327803	-8.108224
51239		-5.701724	-1.121599	7.989641	-0.003962	-0.004015	-0.000118	0.069824	0.001221	-0.842529	-7.653432	35.325808	-8.112637
51240		-5.707038	-1.111253	8.011100	-0.003299	-0.004584	0.001329	0.068359	0.005859	-0.844482	-7.653498	35.323614	-8.113957
51241		-5.706605	-1.111552	8.011367	-0.002889	-0.005975	-0.003127	0.062500	0.008301	-0.843262	-7.655333	35.320247	-8.119416
