// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BCF6
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
12834		9.568300	0.203001	2.028348	-0.001838	0.003134	-0.008516	-1.421143	-0.420654	0.706299	6.024319	-78.162797	-7.697197
12835		9.561516	0.204017	2.052309	-0.002820	0.006790	-0.005059	-1.426514	-0.425781	0.707031	6.018974	-78.159727	-7.691885
12836		9.583301	0.195838	2.059377	-0.005834	0.007308	-0.005515	-1.422852	-0.425781	0.700195	6.015373	-78.157790	-7.690019
12837		9.551119	0.158826	2.026281	0.000725	0.007813	-0.006018	-1.419434	-0.427734	0.697754	6.014386	-78.154081	-7.687100
12838		9.559329	0.182313	2.028975	-0.001961	0.007114	-0.007627	-1.427490	-0.426025	0.702393	6.018797	-78.152128	-7.691153
12839		9.552494	0.183413	2.053138	-0.001962	0.007113	-0.007628	-1.419189	-0.428467	0.694580	6.020825	-78.148725	-7.692963
12840		9.545661	0.184379	2.077286	-0.002822	0.006788	-0.005061	-1.427246	-0.427002	0.699463	6.017866	-78.147112	-7.689989
12841		9.565545	0.183710	2.007517	-0.001963	0.007113	-0.007628	-1.416992	-0.422363	0.696533	6.019883	-78.143704	-7.691826
12842		9.552054	0.185020	2.055042	-0.000341	0.004726	-0.003189	-1.422119	-0.420410	0.701416	6.013857	-78.143378	-7.684267
12843		9.551951	0.185498	2.055478	-0.002167	0.004351	-0.007367	-1.420410	-0.425049	0.700684	6.015785	-78.141586	-7.685810
12844		9.551802	0.186064	2.056119	0.000394	0.009031	-0.004867	-1.425049	-0.424072	0.698975	6.013504	-78.138707	-7.681646
12845		9.571913	0.154780	2.037720	-0.005182	0.004868	-0.007825	-1.421143	-0.420654	0.699463	6.014820	-78.136583	-7.684536
12846		9.529596	0.195854	2.050837	-0.002168	0.004350	-0.007367	-1.422119	-0.419922	0.698486	6.019193	-78.136220	-7.688671
12847		9.551400	0.187825	2.057823	-0.001216	0.007909	-0.004965	-1.423828	-0.426758	0.699707	6.014099	-78.132545	-7.682481
12848		9.556246	0.164608	2.009666	-0.004231	0.008426	-0.005423	-1.423584	-0.429443	0.690918	6.010853	-78.129977	-7.680039
12849		9.557703	0.188380	2.036071	-0.002091	0.011091	-0.006741	-1.428223	-0.426514	0.706787	6.009235	-78.124373	-7.678454
12850		9.550780	0.189259	2.060567	0.000063	0.010248	-0.003716	-1.418945	-0.425293	0.700684	6.003307	-78.120869	-7.670758
12851		9.548935	0.166388	2.035942	-0.005841	0.007303	-0.005523	-1.422363	-0.420166	0.700195	5.997298	-78.117527	-7.666585
12852		9.550435	0.190198	2.062079	0.001048	0.006593	-0.007174	-1.425781	-0.432373	0.703857	6.002344	-78.115898	-7.669525
12853		9.556958	0.190381	2.039378	-0.002625	0.009546	-0.005328	-1.427246	-0.427979	0.693359	5.996994	-78.111287	-7.664169
12854		9.556787	0.190761	2.040142	-0.001750	0.006364	-0.003552	-1.423584	-0.424805	0.696045	5.990699	-78.110006	-7.657159
12855		9.541570	0.168620	2.062359	-0.001548	0.009125	-0.003815	-1.416016	-0.423828	0.700439	5.981984	-78.105711	-7.647785
12856		9.580020	0.206079	2.073593	-0.003157	0.008002	-0.003914	-1.426758	-0.425049	0.701904	5.975403	-78.103474	-7.641306
12857		9.554644	0.168518	2.016949	-0.002828	0.006784	-0.005067	-1.424072	-0.419678	0.698730	5.970013	-78.100475	-7.635902
12858		9.547737	0.169195	2.041325	0.002415	0.012165	-0.000954	-1.423828	-0.425537	0.699707	5.957452	-78.096042	-7.620049
12859		9.549157	0.192852	2.067744	-0.004983	0.007625	-0.008095	-1.424072	-0.419922	0.701172	5.958726	-78.092379	-7.622622
12860		9.555721	0.192884	2.044928	-0.000675	0.005942	-0.002040	-1.420166	-0.424561	0.696045	5.949095	-78.091426	-7.611572
12861		9.547244	0.170331	2.043535	-0.002829	0.006783	-0.005068	-1.427490	-0.421875	0.694092	5.943681	-78.088433	-7.606088
12862		9.555425	0.193556	2.046252	-0.003159	0.008001	-0.003916	-1.423340	-0.427246	0.705078	5.937122	-78.086196	-7.599631
12863		9.540195	0.171398	2.068483	-0.003159	0.008001	-0.003916	-1.430420	-0.424805	0.701172	5.928084	-78.082573	-7.590794
12864		9.585376	0.208464	2.056148	-0.001753	0.006362	-0.003555	-1.420410	-0.424316	0.691895	5.921819	-78.081290	-7.583815
12865		9.553354	0.171279	2.022817	-0.004438	0.005660	-0.005168	-1.426025	-0.425049	0.699219	5.916089	-78.078923	-7.579154
12866		9.546495	0.171900	2.046900	-0.001006	0.007159	-0.000889	-1.423096	-0.427979	0.695313	5.902837	-78.077344	-7.564597
12867		9.532748	0.203579	2.043124	0.000185	0.006267	-0.004609	-1.417236	-0.415039	0.692871	5.898102	-78.074682	-7.558405
12868		9.574934	0.163609	2.030868	-0.003231	0.001261	-0.004543	-1.428711	-0.416260	0.699707	5.895086	-78.076248	-7.555612
12869		9.569750	0.187624	2.080071	-0.003031	0.004022	-0.004807	-1.423340	-0.427246	0.701660	5.889525	-78.074876	-7.549551
12870		9.546103	0.173351	2.048603	-0.001424	0.005144	-0.004708	-1.426025	-0.428955	0.691406	5.886907	-78.074219	-7.546107
12871		9.561078	0.196163	2.027521	-0.003562	0.002479	-0.003391	-1.425537	-0.420410	0.700928	5.877831	-78.073800	-7.537927
12872		9.545922	0.173893	2.049404	-0.003693	0.006456	-0.002503	-1.424805	-0.418945	0.710693	5.867601	-78.072524	-7.528031
12873		9.576065	0.188485	2.058413	-0.001424	0.005144	-0.004708	-1.419922	-0.421875	0.696777	5.862459	-78.070544	-7.521772
12874		9.545706	0.174512	2.050357	-0.006578	0.002994	-0.003854	-1.418945	-0.426758	0.702393	5.855182	-78.071163	-7.516584
12875		9.560838	0.166514	2.080584	-0.003893	0.003696	-0.002240	-1.421631	-0.422607	0.696777	5.842440	-78.070152	-7.504528
12876		9.545518	0.174975	2.051191	-0.002833	0.006781	-0.005071	-1.427002	-0.419678	0.699707	5.839548	-78.068540	-7.501629
12877		9.553746	0.198114	2.053640	-0.002485	0.002058	-0.001878	-1.423828	-0.424805	0.701660	5.827012	-78.068468	-7.488709
12878		9.575617	0.189819	2.060373	-0.003033	0.004021	-0.004808	-1.427246	-0.421143	0.692871	5.824057	-78.068445	-7.485862
12879		9.552005	0.175475	2.028818	-0.001955	0.003601	-0.003293	-1.425537	-0.427734	0.697754	5.815251	-78.067413	-7.476577
12880		9.545199	0.176113	2.052576	-0.003563	0.002478	-0.003393	-1.425537	-0.420410	0.703125	5.808598	-78.068351	-7.470262
12881		9.595734	0.158892	2.042364	-0.003364	0.005238	-0.003656	-1.423584	-0.421143	0.701172	5.799525	-78.066383	-7.461552
12882		9.551763	0.176262	2.029890	-0.006579	0.002992	-0.003856	-1.426514	-0.424072	0.700195	5.792252	-78.067000	-7.456369
12883		9.558403	0.176231	2.006875	0.000181	0.006266	-0.004610	-1.422119	-0.423828	0.704346	5.787475	-78.064404	-7.449871
12884		9.566747	0.168839	2.060733	-0.003034	0.004020	-0.004809	-1.428955	-0.422119	0.693848	5.784523	-78.064381	-7.447028
12885		9.516025	0.186593	2.071739	-0.002287	0.004817	-0.002142	-1.427246	-0.432129	0.704102	5.772069	-78.062759	-7.434180
12886		9.551351	0.177710	2.031700	-0.002173	0.004346	-0.007377	-1.425781	-0.433838	0.700439	5.776447	-78.062401	-7.438325
12887		9.552824	0.201401	2.057603	-0.004973	0.004114	-0.003757	-1.415771	-0.413086	0.701416	5.767127	-78.061092	-7.431002
12888		9.536111	0.155937	2.053911	-0.001957	0.003600	-0.003294	-1.423096	-0.417725	0.705566	5.760825	-78.061396	-7.424103
12889		9.544385	0.179301	2.056086	-0.003648	-0.000754	-0.008367	-1.427734	-0.420654	0.696533	5.765838	-78.062633	-7.429348
12890		9.544328	0.179943	2.056294	0.000511	0.005049	-0.005763	-1.417236	-0.423340	0.698486	5.767209	-78.061968	-7.428848
12891		9.552557	0.203264	2.058660	-0.006250	0.001773	-0.005010	-1.427002	-0.421143	0.699951	5.761059	-78.061929	-7.424855
12892		9.542643	0.157799	2.031283	0.001505	0.001398	-0.009220	-1.423828	-0.420898	0.695313	5.773315	-78.063147	-7.434898
12893		9.574377	0.196136	2.065536	-0.002175	0.004345	-0.007379	-1.427734	-0.426514	0.696777	5.775166	-78.061510	-7.436580
12894		9.535756	0.159710	2.055267	-0.003119	0.000787	-0.009784	-1.428955	-0.426025	0.695313	5.786462	-78.063042	-7.448350
12895		9.559078	0.205957	2.035964	-0.003120	0.000787	-0.009784	-1.426025	-0.428955	0.694092	5.795256	-78.063291	-7.457956
12896		9.557453	0.183627	2.010731	-0.001316	0.004670	-0.009948	-1.429932	-0.427002	0.703613	5.806967	-78.062599	-7.469094
12897		9.550774	0.154119	2.085785	-0.005059	0.000880	-0.008733	-1.422363	-0.427734	0.695557	5.811824	-78.062876	-7.475835
12898		9.543786	0.185928	2.058277	-0.004665	0.006399	-0.009260	-1.427979	-0.422852	0.705566	5.819285	-78.061238	-7.484590
12899		9.550419	0.186446	2.035297	0.004717	0.003645	-0.009021	-1.429932	-0.420898	0.702881	5.829726	-78.059939	-7.491099
12900		9.550464	0.156551	2.087026	-0.005195	0.004856	-0.007845	-1.418701	-0.421631	0.692627	5.833491	-78.059263	-7.496387
12901		9.572196	0.179413	2.042408	-0.002043	0.000366	-0.008270	-1.432617	-0.421631	0.694336	5.838876	-78.059878	-7.501402
12902		9.528215	0.197128	2.029850	-0.000904	0.006684	-0.006128	-1.421875	-0.420166	0.700195	5.839968	-78.058260	-7.501445
12903		9.563684	0.157886	2.041307	-0.001651	0.005886	-0.008798	-1.426025	-0.419922	0.697998	5.845470	-78.055695	-7.506322
12904		9.551431	0.213365	2.062860	-0.002926	0.003544	-0.010051	-1.427734	-0.429688	0.698975	5.856838	-78.055637	-7.518053
12905		9.534798	0.168379	2.059017	-0.002376	0.001583	-0.007119	-1.424072	-0.419678	0.698242	5.858648	-78.055634	-7.519936
12906		9.579982	0.205848	2.046452	-0.002512	0.005559	-0.006230	-1.428467	-0.409912	0.698730	5.859401	-78.054651	-7.520574
12907		9.541395	0.169074	2.036235	-0.003236	0.001256	-0.004551	-1.422852	-0.423096	0.693359	5.853765	-78.054998	-7.514426
12908		9.564770	0.184173	2.068582	-0.002845	0.006775	-0.005078	-1.420166	-0.417725	0.698975	5.850887	-78.053389	-7.511547
12909		9.541215	0.169869	2.037011	-0.003236	0.001256	-0.004551	-1.419922	-0.424561	0.703369	5.845371	-78.053751	-7.506327
12910		9.571384	0.184731	2.045736	-0.003787	0.003217	-0.007484	-1.416992	-0.419189	0.692139	5.849418	-78.054029	-7.511079
12911		9.549393	0.193749	2.039423	-0.001825	-0.000380	-0.004187	-1.427002	-0.421631	0.702637	5.844210	-78.055364	-7.505473
12912		9.557805	0.186400	2.092798	-0.003983	0.000457	-0.007221	-1.424316	-0.426270	0.706299	5.848199	-78.057231	-7.510280
12913		9.556305	0.163593	2.067224	-0.002353	-0.001923	-0.002771	-1.424561	-0.423828	0.698486	5.839278	-78.059514	-7.501094
12914		9.542628	0.195468	2.062754	-0.002045	0.000365	-0.008274	-1.423584	-0.427246	0.700684	5.847240	-78.061373	-7.508828
12915		9.549414	0.195650	2.039145	-0.006645	-0.003754	-0.004490	-1.426270	-0.429932	0.700195	5.841008	-78.064593	-7.505133
12916		9.549425	0.196112	2.039050	-0.002378	0.001582	-0.007121	-1.418457	-0.415771	0.705566	5.845340	-78.065825	-7.509350
12917		9.585011	0.156784	2.050112	-0.002710	0.002798	-0.005968	-1.429688	-0.420166	0.699463	5.843529	-78.065248	-7.507568
12918		9.571276	0.188738	2.045879	-0.003985	0.000457	-0.007222	-1.429443	-0.416992	0.697998	5.847525	-78.067115	-7.512383
12919		9.563002	0.166525	2.043813	-0.003652	-0.000760	-0.008376	-1.426270	-0.427979	0.703613	5.852551	-78.068399	-7.517799
12920		9.549257	0.198607	2.039596	-0.002184	0.004341	-0.007385	-1.423828	-0.426270	0.697021	5.856944	-78.068043	-7.521965
12921		9.569651	0.167586	2.020789	-0.005065	0.000874	-0.008741	-1.425781	-0.425049	0.700928	5.861834	-78.068402	-7.528862
12922		9.540873	0.177174	2.037989	-0.001853	0.003124	-0.008539	-1.424805	-0.422607	0.696045	5.869866	-78.068672	-7.536554
12923		9.570995	0.192275	2.046864	-0.002186	0.004340	-0.007386	-1.425293	-0.416260	0.704102	5.871727	-78.067141	-7.538341
12924		9.540704	0.178670	2.038650	-0.001521	0.001907	-0.009693	-1.425049	-0.420654	0.704102	5.883399	-78.068036	-7.549559
12925		9.569352	0.170693	2.021944	-0.000248	0.004249	-0.008438	-1.422852	-0.422852	0.700439	5.889179	-78.066522	-7.553619
12926		9.548800	0.203118	2.041289	-0.002380	0.001580	-0.007123	-1.427490	-0.419189	0.706543	5.893522	-78.067754	-7.557848
12927		9.562432	0.172445	2.045988	-0.003267	0.004757	-0.008905	-1.424072	-0.424805	0.704346	5.898730	-78.065927	-7.563390
12928		9.533595	0.182053	2.063420	-0.000249	0.004248	-0.008439	-1.422607	-0.422852	0.708252	5.907098	-78.065561	-7.570486
12929		9.548517	0.205337	2.042391	-0.003794	0.003213	-0.007489	-1.427002	-0.424072	0.702393	5.908664	-78.064716	-7.572869
12930		9.562133	0.174550	2.047207	-0.002521	0.005555	-0.006234	-1.420898	-0.429688	0.699219	5.909420	-78.063735	-7.573515
12931		9.518070	0.192283	2.034886	0.001882	0.006917	-0.009755	-1.421387	-0.429199	0.700439	5.919346	-78.060628	-7.581581
12932		9.561861	0.176124	2.048342	-0.002189	0.004338	-0.007389	-1.424805	-0.428955	0.703369	5.923743	-78.060272	-7.585754
12933		9.554960	0.177127	2.072318	0.001022	0.006589	-0.007185	-1.425537	-0.425537	0.704834	5.926373	-78.057516	-7.587035
12934		9.547877	0.208999	2.045011	-0.001331	0.004664	-0.009959	-1.419678	-0.421387	0.706299	5.938095	-78.056822	-7.598194
12935		9.561510	0.178477	2.049779	-0.001856	0.003121	-0.008543	-1.428955	-0.425049	0.695068	5.943624	-78.055984	-7.603342
12936		9.539468	0.187735	2.043617	-0.001857	0.003121	-0.008543	-1.423584	-0.422607	0.698242	5.951661	-78.056253	-7.611042
12937		9.539382	0.188503	2.043945	-0.004876	0.003628	-0.009011	-1.422119	-0.425537	0.697754	5.956528	-78.055052	-7.617429
12938		9.539319	0.189389	2.044157	-0.001190	0.000688	-0.010851	-1.423828	-0.428223	0.698730	5.971849	-78.056570	-7.632184
12939		9.569460	0.204762	2.052820	-0.001525	0.001904	-0.009698	-1.416748	-0.423096	0.694336	5.981060	-78.056339	-7.641458
12940		9.530991	0.168331	2.042421	-0.004544	0.002410	-0.010166	-1.420898	-0.417969	0.694824	5.992130	-78.056914	-7.653832
12941		9.567890	0.183353	2.027745	0.003100	0.002523	-0.009129	-1.421387	-0.418457	0.706543	6.002185	-78.056383	-7.660491
12942		9.561039	0.184571	2.051433	-0.004545	0.002409	-0.010167	-1.426025	-0.427246	0.707764	6.013258	-78.056959	-7.672868
12943		9.562376	0.208678	2.077303	-0.001335	0.004662	-0.009963	-1.416504	-0.423584	0.694580	6.022451	-78.055187	-7.681226
12944		9.555503	0.209894	2.101070	-0.001526	0.001903	-0.009700	-1.423584	-0.425049	0.694580	6.034140	-78.056079	-7.692466
12945		9.567585	0.187036	2.028849	-0.002608	0.002319	-0.011220	-1.428223	-0.423096	0.696289	6.046698	-78.055527	-7.705644
12946		9.560754	0.188225	2.052431	-0.002051	0.000359	-0.008283	-1.426270	-0.428223	0.697266	6.054714	-78.057382	-7.713436
12947		9.531746	0.228451	2.018326	0.000825	0.003829	-0.006925	-1.427490	-0.422363	0.691895	6.057203	-78.056210	-7.714209
12948		9.567432	0.189402	2.029353	-0.004738	-0.000352	-0.009906	-1.425049	-0.423584	0.699951	6.068256	-78.058372	-7.726679
12949		9.545431	0.198668	2.022944	-0.000447	0.001486	-0.008182	-1.423828	-0.425293	0.706055	6.074057	-78.058477	-7.731228
12950		9.530400	0.176768	2.044464	-0.002386	0.001575	-0.007131	-1.427246	-0.428223	0.701416	6.078432	-78.059709	-7.735495
12951		9.559122	0.168769	2.027598	-0.003134	0.000774	-0.009805	-1.431641	-0.427246	0.694092	6.087370	-78.060164	-7.745165
12952		9.538527	0.201231	2.046720	-0.002053	0.000358	-0.008285	-1.424561	-0.425049	0.698975	6.095400	-78.062019	-7.752972
12953		9.560483	0.193401	2.053211	-0.002910	0.000031	-0.005714	-1.421631	-0.421631	0.691895	6.093596	-78.063110	-7.751560
12954		9.560517	0.194122	2.052986	-0.001574	-0.004834	-0.010331	-1.423340	-0.436035	0.698730	6.108914	-78.067797	-7.766536
12955		9.560562	0.194902	2.052702	-0.002577	-0.001186	-0.006868	-1.419678	-0.423096	0.695068	6.110866	-78.069541	-7.769278
12956		9.560584	0.195382	2.052552	-0.000414	-0.002017	-0.003829	-1.416992	-0.422852	0.695801	6.108511	-78.073020	-7.765512
12957		9.538675	0.204398	2.045716	-0.005119	-0.005873	-0.009382	-1.419434	-0.415771	0.696533	6.117059	-78.077314	-7.775602
12958		9.544155	0.181579	1.996218	-0.004372	-0.005073	-0.006708	-1.418213	-0.426758	0.706055	6.121094	-78.082358	-7.780683
12959		9.559412	0.174068	2.025781	-0.002244	-0.002402	-0.008024	-1.423340	-0.427490	0.699219	6.126616	-78.084786	-7.785661
12960		9.569048	0.220942	2.053063	-0.003516	-0.004747	-0.009281	-1.417236	-0.433350	0.700684	6.138002	-78.089486	-7.797754
12961		9.538948	0.207287	2.044152	-0.004932	-0.003115	-0.009647	-1.424561	-0.424072	0.699219	6.146743	-78.092198	-7.808928
12962		9.559584	0.176304	2.024776	-0.000081	-0.003233	-0.004984	-1.420898	-0.430664	0.699219	6.148060	-78.096300	-7.808719
12963		9.567810	0.199863	2.026563	-0.004933	-0.003116	-0.009648	-1.420166	-0.416748	0.703125	6.156712	-78.099003	-7.819200
12964		9.561052	0.200992	2.049831	-0.001724	-0.000860	-0.009443	-1.424561	-0.416992	0.703857	6.168452	-78.101478	-7.830604
12965		9.559698	0.178640	2.024030	-0.003517	-0.004748	-0.009283	-1.419434	-0.425781	0.705078	6.177258	-78.105166	-7.838951
12966		9.598062	0.216740	2.034407	-0.005602	-0.000685	-0.007339	-1.422119	-0.423828	0.693848	6.181044	-78.107670	-7.844498
12967		9.561083	0.203028	2.049485	-0.003061	0.004005	-0.004823	-1.422119	-0.427734	0.701172	6.175657	-78.106636	-7.839409
12968		9.573230	0.179709	1.977106	-0.003103	-0.002731	-0.005454	-1.421875	-0.421387	0.699707	6.176374	-78.110423	-7.840357
12969		9.561076	0.203998	2.049423	-0.000976	-0.000059	-0.006769	-1.417969	-0.428467	0.696045	6.178620	-78.111592	-7.841745
12970		9.559622	0.181254	2.024159	-0.006417	0.005723	-0.004137	-1.418213	-0.423096	0.702393	6.171401	-78.110644	-7.836522
12971		9.574480	0.204343	2.003155	-0.002394	0.001572	-0.007134	-1.416260	-0.427246	0.703613	6.173397	-78.110880	-7.838761
12972		9.560868	0.205293	2.050263	0.002126	0.002672	-0.001315	-1.424316	-0.425293	0.698486	6.164328	-78.111843	-7.826646
12973		9.574378	0.205077	2.003568	-0.004332	0.001659	-0.006082	-1.423096	-0.431152	0.695068	6.162345	-78.112096	-7.825883
12974		9.537381	0.191302	2.018749	-0.003062	0.004004	-0.004824	-1.432617	-0.422363	0.702881	6.159411	-78.112085	-7.823075
12975		9.589454	0.197764	2.034013	-0.003250	0.001244	-0.004562	-1.422363	-0.422363	0.695068	6.154006	-78.112633	-7.818124
12976		9.552197	0.214715	1.997905	-0.003062	0.004004	-0.004825	-1.424805	-0.429443	0.699707	6.151073	-78.112622	-7.815317
12977		9.559173	0.184048	2.026028	-0.001645	0.002373	-0.004459	-1.426025	-0.424561	0.702148	6.146015	-78.112562	-7.809784
12978		9.567265	0.207419	2.028375	-0.002729	0.002787	-0.005980	-1.418701	-0.431885	0.703369	6.146754	-78.113172	-7.810535
12979		9.551975	0.216156	1.998811	-0.002208	0.004331	-0.007398	-1.428955	-0.425049	0.700439	6.148832	-78.111852	-7.812826
12980		9.530160	0.194311	2.043991	-0.000041	0.003502	-0.004356	-1.418945	-0.424561	0.703125	6.146508	-78.112155	-7.808874
12981		9.545040	0.217466	2.022858	-0.007021	0.000943	-0.007709	-1.420654	-0.424561	0.698975	6.147587	-78.112743	-7.812432
12982		9.588951	0.201202	2.036045	-0.004147	0.004417	-0.006347	-1.425781	-0.429199	0.703613	6.148030	-78.112402	-7.813711
12983		9.551934	0.187357	2.051323	-0.001981	0.003588	-0.003305	-1.426270	-0.418701	0.701904	6.139374	-78.111759	-7.804715
12984		9.573567	0.210220	2.006908	-0.002209	0.004330	-0.007399	-1.428955	-0.418701	0.702148	6.143801	-78.111404	-7.808930
12985		9.551768	0.188542	2.051985	-0.000457	0.001484	-0.008189	-1.422852	-0.419189	0.701416	6.149650	-78.111654	-7.812455
12986		9.551671	0.189324	2.052366	-0.004712	0.006374	-0.009287	-1.423096	-0.426514	0.707275	6.157155	-78.110019	-7.821280
12987		9.558338	0.189791	2.029434	-0.002210	0.004329	-0.007400	-1.421631	-0.418945	0.702637	6.159175	-78.108731	-7.822645
12988		9.544375	0.221909	2.025509	-0.001355	0.004657	-0.009974	-1.429688	-0.427490	0.695068	6.170958	-78.108031	-7.833878
12989		9.542918	0.199333	2.000431	-0.003401	0.005217	-0.003672	-1.421143	-0.424805	0.708008	6.161935	-78.106430	-7.824916
12990		9.566155	0.214572	2.032861	-0.003815	0.003199	-0.007505	-1.419678	-0.420166	0.703125	6.166055	-78.106712	-7.829758
12991		9.557907	0.192184	2.031235	-0.002881	0.006760	-0.005090	-1.413330	-0.431885	0.695313	6.160793	-78.104220	-7.824023
12992		9.594706	0.206932	2.016906	-0.004151	0.004415	-0.006350	-1.420166	-0.424072	0.699463	6.161242	-78.103880	-7.825310
12993		9.557669	0.193193	2.032258	-0.002547	0.005544	-0.006246	-1.427490	-0.426514	0.705078	6.159820	-78.101990	-7.824882
12994		9.571124	0.193120	1.986017	-0.003217	0.007975	-0.003935	-1.423340	-0.429688	0.698486	6.153238	-78.099771	-7.818437
12995		9.557358	0.194122	2.033635	-0.002028	0.007087	-0.007665	-1.420654	-0.425293	0.702393	6.155403	-78.096896	-7.820757
12996		9.564003	0.194425	2.010883	-0.005906	0.007258	-0.005563	-1.423096	-0.423584	0.700684	6.151890	-78.094985	-7.819023
12997		9.558348	0.218156	2.060658	-0.000531	0.008691	-0.002310	-1.421875	-0.425781	0.695557	6.139931	-78.091557	-7.805472
12998		9.578869	0.186900	2.042260	-0.004487	0.005629	-0.005197	-1.426025	-0.424561	0.701660	6.136719	-78.090597	-7.803214
