// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BCF6
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
31330		9.580939	-0.201149	1.825624	-0.003107	0.002628	-0.012146	-0.753174	-0.198242	0.760742	-3.667196	-79.592071	136.616949
31331		9.603405	-0.198925	1.835295	-0.003911	0.003678	-0.008141	-0.756836	-0.211182	0.755859	-3.656643	-79.592536	136.606067
31332		9.594529	-0.186483	1.855151	-0.002082	0.001577	-0.011720	-0.752930	-0.193359	0.745850	-3.640579	-79.592728	136.590449
31333		9.634714	-0.207147	1.825506	-0.003106	0.002628	-0.012148	-0.756592	-0.210693	0.765869	-3.617294	-79.593938	136.567091
31334		9.571974	-0.185591	1.846265	-0.004129	0.003678	-0.012575	-0.749756	-0.202393	0.753906	-3.599366	-79.592961	136.548442
31335		9.606647	-0.173275	1.825289	-0.002244	0.004130	-0.010652	-0.750244	-0.208008	0.759277	-3.579948	-79.593255	136.529517
31336		9.603230	-0.193693	1.836771	-0.004128	0.003678	-0.012577	-0.753906	-0.199707	0.760742	-3.561958	-79.592309	136.510684
31337		9.603188	-0.192697	1.837093	-0.005795	0.003226	-0.010069	-0.757080	-0.204102	0.757080	-3.546565	-79.593098	136.493783
31338		9.580674	-0.193066	1.827885	-0.001056	0.000527	-0.011298	-0.746582	-0.203613	0.760986	-3.531449	-79.593887	136.479785
31339		9.601751	-0.193675	1.777676	-0.002483	0.002102	-0.009722	-0.744873	-0.200439	0.759033	-3.515448	-79.595304	136.464197
31340		9.606498	-0.168379	1.826526	-0.003506	0.003153	-0.010149	-0.752441	-0.198242	0.757080	-3.504801	-79.594615	136.453224
31341		9.625586	-0.187674	1.847389	-0.002646	0.004655	-0.008652	-0.751709	-0.208740	0.755371	-3.491737	-79.594534	136.440526
31342		9.583883	-0.168101	1.817905	-0.001621	0.003604	-0.008225	-0.754883	-0.206055	0.753662	-3.485891	-79.593477	136.435553
31343		9.580486	-0.188858	1.829308	-0.002885	0.002627	-0.007720	-0.749512	-0.201904	0.757568	-3.476251	-79.594523	136.426197
31344		9.590686	-0.196816	1.869879	-0.005097	0.007279	-0.007504	-0.749756	-0.200684	0.759766	-3.473932	-79.591344	136.422776
31345		9.592589	-0.177545	1.799353	-0.001697	-0.000976	-0.008364	-0.753906	-0.208496	0.762451	-3.462283	-79.594472	136.412069
31346		9.577001	-0.208371	1.841326	-0.006600	0.004274	-0.006066	-0.742432	-0.199951	0.758301	-3.465858	-79.592980	136.413752
31347		9.593930	-0.173349	1.859517	-0.002480	0.002103	-0.009725	-0.762207	-0.203369	0.754395	-3.449837	-79.594394	136.398144
31348		9.608312	-0.216982	1.831596	-0.002480	0.002103	-0.009726	-0.753174	-0.203857	0.762695	-3.440104	-79.594262	136.388763
31349		9.590540	-0.193084	1.871016	-0.004768	0.002174	-0.009648	-0.742188	-0.200439	0.757080	-3.425615	-79.595631	136.373380
31350		9.583587	-0.162120	1.820009	-0.002480	0.002103	-0.009727	-0.758057	-0.206055	0.756592	-3.415877	-79.595532	136.363943
31351		9.576900	-0.204276	1.842313	-0.005007	0.000146	-0.008717	-0.742676	-0.210938	0.755859	-3.404799	-79.598028	136.351889
31352		9.602707	-0.180697	1.840827	-0.004932	0.004726	-0.008578	-0.746826	-0.205566	0.754883	-3.399479	-79.596365	136.345394
31353		9.602644	-0.179975	1.841222	-0.003907	0.003677	-0.008151	-0.756104	-0.201904	0.750244	-3.388876	-79.596822	136.334463
31354		9.580127	-0.180792	1.832004	-0.002503	0.000073	-0.004359	-0.750244	-0.204590	0.756104	-3.396230	-79.597672	136.342396
31355		9.589011	-0.191571	1.812466	-0.002074	0.001579	-0.011734	-0.754883	-0.205566	0.765137	-3.373798	-79.599450	136.320507
31356		9.608168	-0.210746	1.833080	-0.003742	0.001124	-0.009224	-0.759766	-0.202637	0.759521	-3.366481	-79.599880	136.312786
31357		9.593740	-0.165476	1.861214	-0.003981	-0.000904	-0.008292	-0.751709	-0.201172	0.763916	-3.356314	-79.602960	136.302256
31358		9.580156	-0.177611	1.832163	-0.005005	0.000146	-0.008720	-0.757080	-0.200439	0.753906	-3.351508	-79.603923	136.296456
31359		9.602674	-0.175624	1.841487	-0.003361	-0.001430	-0.005860	-0.754883	-0.199951	0.753662	-3.348658	-79.607222	136.293725
31360		9.599363	-0.196321	1.852583	-0.002073	0.001579	-0.011736	-0.747314	-0.215332	0.759766	-3.332516	-79.607456	136.278139
